CNPJ;Razão Social;Código da categoria;Descrição da categoria;Código da atividade;Descrição da atividade;Data de início da atividade;Data de término da atividade;Potenc. de Pol. da atividade;Município;Estado;Latitude;Longitude;Situação cadastral;Última Atualização Relatório
00240681000165;FRIOS VILHENA IMPORTAÇÃO E EXPORTAÇÃO LTDA;18;Transporte, Terminais, Depósitos e Comércio;11;Transporte de produtos florestais;23/04/2014;29/06/2018;...;RIO BRANCO;ACRE;-9,981275;-67,809894;Encerrado;21/03/2026 20:26
00240681000165;FRIOS VILHENA IMPORTAÇÃO E EXPORTAÇÃO LTDA;18;Transporte, Terminais, Depósitos e Comércio;28;depósito de mercadorias para terceiros exceto produtos químicos e perigosos;08/11/2012;23/04/2014;...;RIO BRANCO;ACRE;-9,981275;-67,809894;Encerrado;21/03/2026 20:26
00240681000165;FRIOS VILHENA IMPORTAÇÃO E EXPORTAÇÃO LTDA;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;1;Reparação de aparelhos de refrigeração;06/12/2011;15/02/2013;...;RIO BRANCO;ACRE;-9,981275;-67,809894;Encerrado;21/03/2026 20:26
00240681000165;FRIOS VILHENA IMPORTAÇÃO E EXPORTAÇÃO LTDA;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;49;Transporte de produtos florestais - Lei nº 12.651/2012: art. 36;29/06/2018;09/02/2026;...;RIO BRANCO;ACRE;-9,981275;-67,809894;Encerrado;21/03/2026 20:26
00240681000246;FRIOS VILHENA IMP. E EXP. LTDA;18;Transporte, Terminais, Depósitos e Comércio;11;Transporte de produtos florestais;23/04/2014;29/06/2018;...;BRASILEIA;ACRE;-11,006917;-68,7425;Ativa;21/03/2026 20:26
00240681000246;FRIOS VILHENA IMP. E EXP. LTDA;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;1;Reparação de aparelhos de refrigeração;03/10/2016;16/02/2018;...;BRASILEIA;ACRE;-11,006917;-68,7425;Ativa;21/03/2026 20:26
00240681000246;FRIOS VILHENA IMP. E EXP. LTDA;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;49;Transporte de produtos florestais - Lei nº 12.651/2012: art. 36;29/06/2018;;...;BRASILEIA;ACRE;-11,006917;-68,7425;Ativa;21/03/2026 20:26
00261960000105;EMP DE AGUA MINERAL MONTE MARIO LTDA;16;Indústria de Produtos Alimentares e Bebidas;13;Fabricação de bebidas não-alcoólicas, bem como engarrafamento e gaseificação e águas minerais;01/01/2001;;Médio;RIO BRANCO;ACRE;-10,0046;-67,810478;Ativa;21/03/2026 20:26
00262092000188;FIC FRIO LTDA;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;3;Utilização de substâncias controladas - Protocolo de Montreal;09/09/2004;12/01/2021;...;RIO BRANCO;ACRE;;;Encerrado;21/03/2026 20:26
00284838000154;V.M.CORREIA-ME;20;Uso de Recursos Naturais;2;Exploração econômica da madeira ou lenha e subprodutos florestais (floresta nativa);24/10/2010;;Médio;CRUZEIRO DO SUL;ACRE;-8,064722;-73,145556;Ativa;21/03/2026 20:26
