CNPJ;Razão Social;Código da categoria;Descrição da categoria;Código da atividade;Descrição da atividade;Data de início da atividade;Data de término da atividade;Potenc. de Pol. da atividade;Município;Estado;Latitude;Longitude;Situação cadastral;Última Atualização Relatório
00000802000959;HC PNEUS S/A.;18;Transporte, Terminais, Depósitos e Comércio;5;Depósitos de produtos químicos e produtos perigosos;16/05/1990;16/10/2024;Alto;MACEIO;ALAGOAS;-9,653056;-35,723056;Cadastramento indevido;21/03/2026 20:26
00000802000959;HC PNEUS S/A.;18;Transporte, Terminais, Depósitos e Comércio;80;Depósito de produtos químicos e produtos perigosos - Lei nº 12.305/2010;15/03/2013;11/12/2018;Alto;MACEIO;ALAGOAS;-9,653056;-35,723056;Cadastramento indevido;21/03/2026 20:26
00000802000959;HC PNEUS S/A.;98;Veículos Automotores - Pneus - Pilhas e Baterias;2;Comerciante de Pneus e similares;16/05/1990;11/04/2013;...;MACEIO;ALAGOAS;-9,653056;-35,723056;Cadastramento indevido;21/03/2026 20:26
00048785004240;INDAIA BRASIL AGUAS MINERAIS LTDA;16;Indústria de Produtos Alimentares e Bebidas;13;Fabricação de bebidas não-alcoólicas, bem como engarrafamento e gaseificação e águas minerais;01/01/2001;31/12/2023;Médio;MACEIO;ALAGOAS;-9,579361;-35,7335;Encerrado;21/03/2026 20:26
00063960005160;WAL MART BRASIL LTDA;20;Uso de Recursos Naturais;2;Exploração econômica da madeira ou lenha e subprodutos florestais (floresta nativa);23/11/2006;07/01/2009;Médio;MACEIO;ALAGOAS;-9,665806;-35,735;Encerrado;21/03/2026 20:26
00063960005160;WAL MART BRASIL LTDA;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;3;Utilização de substâncias controladas - Protocolo de Montreal;23/11/2006;28/11/2019;...;MACEIO;ALAGOAS;-9,665806;-35,735;Encerrado;21/03/2026 20:26
00063960005160;WAL MART BRASIL LTDA;98;Veículos Automotores - Pneus - Pilhas e Baterias;2;Comerciante de Pneus e similares;23/11/2006;07/01/2009;...;MACEIO;ALAGOAS;-9,665806;-35,735;Encerrado;21/03/2026 20:26
00093472000136;GICELMO DA SILVA FELIX ME;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;1;Reparação de aparelhos de refrigeração;17/06/1994;16/02/2018;...;SANTANA DO IPANEMA;ALAGOAS;-9,373056;-37,236111;Encerrado;21/03/2026 20:26
00217682000199;LETICIA MEDEIROS NOBRE;20;Uso de Recursos Naturais;34;exploração econômica da madeira ou lenha e subprodutos florestais - comércio varejista;05/10/1994;29/10/2015;Médio;BATALHA;ALAGOAS;-9,665472;-37,126056;Encerrado;21/03/2026 20:26
00226533000196;MENDONÇA ENGENHARIA LTDA;20;Uso de Recursos Naturais;9;Consumo de madeira, lenha ou carvão vegetal;22/03/2010;29/06/2018;...;MACEIO;ALAGOAS;-9,661667;-35,698333;Ativa;21/03/2026 20:26
00226533000196;MENDONÇA ENGENHARIA LTDA;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;48;Consumo industrial de madeira, de lenha e de carvão vegetal - Lei nº 12.651/2012: art. 34;29/06/2018;;...;MACEIO;ALAGOAS;-9,661667;-35,698333;Ativa;21/03/2026 20:26
00226533000196;MENDONÇA ENGENHARIA LTDA;22;Obras civis -  não relacionadas no Anexo VIII da Lei nº 6.938/1981;8;Outras obras de infraestrutura - Lei nº 6.938/1981: art. 10;22/03/2010;;...;MACEIO;ALAGOAS;-9,661667;-35,698333;Ativa;21/03/2026 20:26
00243922000120;ORGANIZAÇÃO COMERCIAL DELMIRENSE;20;Uso de Recursos Naturais;32;comércio de materiais de construção que comercializa subprodutos florestais, até cem metros cúbicos ano;17/10/1994;26/11/2012;...;DELMIRO GOUVEIA;ALAGOAS;;;Encerrado;21/03/2026 20:26
00254519000104;ADILTON PAIVA SILVA - ME;18;Transporte, Terminais, Depósitos e Comércio;10;Comércio de produtos químicos e produtos perigosos - Protocolo de Montreal;16/06/2010;09/05/2018;Alto;SAO JOSE DA TAPERA;ALAGOAS;-9,561389;-37,379444;Encerrado;21/03/2026 20:26
00254519000104;ADILTON PAIVA SILVA - ME;20;Uso de Recursos Naturais;2;Exploração econômica da madeira ou lenha e subprodutos florestais (floresta nativa);21/10/1994;09/05/2018;Médio;SAO JOSE DA TAPERA;ALAGOAS;-9,561389;-37,379444;Encerrado;21/03/2026 20:26
00254519000104;ADILTON PAIVA SILVA - ME;20;Uso de Recursos Naturais;34;exploração econômica da madeira ou lenha e subprodutos florestais - comércio varejista;05/07/2010;09/05/2018;Médio;SAO JOSE DA TAPERA;ALAGOAS;-9,561389;-37,379444;Encerrado;21/03/2026 20:26
00257586000174;EDUARDO JORGE DE ARAUJO OLIVEIRA ME;20;Uso de Recursos Naturais;2;Exploração econômica da madeira ou lenha e subprodutos florestais (floresta nativa);01/09/2006;11/11/2009;Médio;MATA GRANDE;ALAGOAS;-9,053278;-37,773742;Ativa;21/03/2026 20:26
00257586000174;EDUARDO JORGE DE ARAUJO OLIVEIRA ME;20;Uso de Recursos Naturais;32;comércio de materiais de construção que comercializa subprodutos florestais, até cem metros cúbicos ano;01/01/2010;29/06/2018;...;MATA GRANDE;ALAGOAS;-9,053278;-37,773742;Ativa;21/03/2026 20:26
00257586000174;EDUARDO JORGE DE ARAUJO OLIVEIRA ME;20;Uso de Recursos Naturais;34;exploração econômica da madeira ou lenha e subprodutos florestais - comércio varejista;01/09/2006;29/06/2018;Médio;MATA GRANDE;ALAGOAS;-9,053278;-37,773742;Ativa;21/03/2026 20:26
00257586000174;EDUARDO JORGE DE ARAUJO OLIVEIRA ME;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;68;Comércio varejista de madeira, de lenha e de outros subprodutos florestais - Lei nº 12.651/2012: art. 37;29/06/2018;;...;MATA GRANDE;ALAGOAS;-9,053278;-37,773742;Ativa;21/03/2026 20:26
00262952000183;JOSEFA GILZA FERREIRA DA SILVA ME;20;Uso de Recursos Naturais;2;Exploração econômica da madeira ou lenha e subprodutos florestais (floresta nativa);01/01/2001;14/08/2008;Médio;ARAPIRACA;ALAGOAS;;;Suspenso para Averiguações - dados cadastrais inconsistentes e_ou recadastramento;21/03/2026 20:26
00262952000183;JOSEFA GILZA FERREIRA DA SILVA ME;20;Uso de Recursos Naturais;34;exploração econômica da madeira ou lenha e subprodutos florestais - comércio varejista;01/01/2001;29/06/2018;Médio;ARAPIRACA;ALAGOAS;;;Suspenso para Averiguações - dados cadastrais inconsistentes e_ou recadastramento;21/03/2026 20:26
00262952000183;JOSEFA GILZA FERREIRA DA SILVA ME;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;68;Comércio varejista de madeira, de lenha e de outros subprodutos florestais - Lei nº 12.651/2012: art. 37;29/06/2018;;...;ARAPIRACA;ALAGOAS;;;Suspenso para Averiguações - dados cadastrais inconsistentes e_ou recadastramento;21/03/2026 20:26
00275871000118;ADEVALDO ALEXANDRE SILVA PADARIA - ME;16;Indústria de Produtos Alimentares e Bebidas;1;Beneficiamento, moagem, torrefação e fabricação de produtos alimentares;01/01/2001;09/11/2004;Médio;MACEIO;ALAGOAS;;;Encerrado;21/03/2026 20:26
00278252000187;SERVIBRAS COM SERV TEC LTDA;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;1;Reparação de aparelhos de refrigeração;31/07/2012;16/02/2018;...;ARAPIRACA;ALAGOAS;-9,763197;-36,655883;Ativa;21/03/2026 20:26
00278252000187;SERVIBRAS COM SERV TEC LTDA;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;3;Utilização de substâncias controladas - Protocolo de Montreal;22/09/1997;;...;ARAPIRACA;ALAGOAS;-9,763197;-36,655883;Ativa;21/03/2026 20:26
00279050000150;FALCAO CONSTRUCAO E INCORPORACAO LTDA.;20;Uso de Recursos Naturais;9;Consumo de madeira, lenha ou carvão vegetal;07/11/1994;29/06/2018;...;MACEIO;ALAGOAS;;;Encerrado;21/03/2026 20:26
00279050000150;FALCAO CONSTRUCAO E INCORPORACAO LTDA.;22;Obras civis -  não relacionadas no Anexo VIII da Lei nº 6.938/1981;8;Outras obras de infraestrutura - Lei nº 6.938/1981: art. 10;07/11/1994;;...;MACEIO;ALAGOAS;;;Encerrado;21/03/2026 20:26
00286347000142;MACEIO GAS LTDA.;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;01/01/2001;09/04/2008;Alto;MACEIO;ALAGOAS;;;Encerrado;21/03/2026 20:26
00286352000155;SYSTEM ENGENHARIA LTDA.;22;Obras civis -  não relacionadas no Anexo VIII da Lei nº 6.938/1981;8;Outras obras de infraestrutura - Lei nº 6.938/1981: art. 10;14/09/1994;21/03/2022;...;MACEIO;ALAGOAS;;;Encerrado;21/03/2026 20:26
00290431000130;SERVIÇOS E PEÇAS DIESEL ARAPIRACA LTDA;18;Transporte, Terminais, Depósitos e Comércio;80;Depósito de produtos químicos e produtos perigosos - Lei nº 12.305/2010;11/11/1994;;Alto;ARAPIRACA;ALAGOAS;-9,780247;-36,633333;Ativa;21/03/2026 20:26
00294441000143;COMERCIAL DE FERRAGENS LOSANGO EIRELI - EPP;17;Serviços de Utilidade;15;prestação de serviços de controle de pragas domésticas com aplicação de produtos químicos;19/05/2016;29/06/2018;...;MACEIO;ALAGOAS;-9,665833;-35,735278;Encerrado;21/03/2026 20:26
00309154000160;MAGAZINE GRAVATA LTDA -EPP;18;Transporte, Terminais, Depósitos e Comércio;18;comércio de produtos químicos e produtos perigosos - fertilizantes;27/05/2015;29/06/2018;Alto;BATALHA;ALAGOAS;-9,692814;-37,150269;Encerrado;21/03/2026 20:26
00309154000160;MAGAZINE GRAVATA LTDA -EPP;18;Transporte, Terminais, Depósitos e Comércio;66;Comércio de produtos químicos e produtos perigosos - Lei nº 7.802/1989;03/11/2005;06/03/2020;Alto;BATALHA;ALAGOAS;-9,692814;-37,150269;Encerrado;21/03/2026 20:26
00321975000111;ARAFORROS IND. E COMERCIO DE PERFILADOS LTDA;12;Indústria de Produtos de Matéria Plástica.;2;Fabricação de artefatos de material plástico;03/11/2005;;Pequeno;ARAPIRACA;ALAGOAS;-9,782694;-36,632667;Ativa;21/03/2026 20:26
