CNPJ;Razão Social;Código da categoria;Descrição da categoria;Código da atividade;Descrição da atividade;Data de início da atividade;Data de término da atividade;Potenc. de Pol. da atividade;Município;Estado;Latitude;Longitude;Situação cadastral;Última Atualização Relatório
00000802000444;HC PNEUS S/A;98;Veículos Automotores - Pneus - Pilhas e Baterias;2;Comerciante de Pneus e similares;25/10/1976;11/04/2013;...;MANAUS;AMAZONAS;;;Encerrado;21/03/2026 20:26
00013314000129;CIMENTO VENCEMOS DO AMAZONAS LTDA;18;Transporte, Terminais, Depósitos e Comércio;2;Transporte por dutos;01/04/2016;24/12/2020;Alto;MANAUS;AMAZONAS;-3,120333;-59,922556;Encerrado;21/03/2026 20:26
00013314000129;CIMENTO VENCEMOS DO AMAZONAS LTDA;18;Transporte, Terminais, Depósitos e Comércio;3;Marinas, portos e aeroportos;01/04/2016;24/12/2020;Alto;MANAUS;AMAZONAS;-3,120333;-59,922556;Encerrado;21/03/2026 20:26
00028876000570;VIDEOJET DO BRASIL COMERCIO DE EQUIPAMENTOS PARA CODIFICACAO INDUSTRIAL LTDA;18;Transporte, Terminais, Depósitos e Comércio;7;Comércio de produtos químicos e produtos perigosos;02/02/2016;;Alto;MANAUS;AMAZONAS;-2,986056;-60,0015;Ativa;21/03/2026 20:26
00028986000370;ELEVADORES ATLAS SCHINDLER LTDA;4;Indústria Mecânica;1;Fabricação de máquinas, aparelhos, peças, utensílios e acessórios com e sem tratamento térmico ou de superfície;19/03/1996;03/09/2025;Médio;MANAUS;AMAZONAS;-3,104839;-60,043511;Cadastramento indevido;21/03/2026 20:26
00059311006914;Funai-Coordenaçao Regional do Madeira;20;Uso de Recursos Naturais;1;silvicultura;16/05/2013;01/08/2021;Médio;HUMAITA;AMAZONAS;-7,518528;-63,031194;Suspenso para Averiguações - dados cadastrais inconsistentes e_ou recadastramento;21/03/2026 20:26
00059311006914;Funai-Coordenaçao Regional do Madeira;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;27;Porte e uso de motosserra - Lei nº 12.651/2010: art. 69, § 1º;16/05/2013;;...;HUMAITA;AMAZONAS;-7,518528;-63,031194;Suspenso para Averiguações - dados cadastrais inconsistentes e_ou recadastramento;21/03/2026 20:26
00091652000421;Companhia de Pesquisa de Recursos Minerais;1;Extração e Tratamento de Minerais;1;Pesquisa mineral com guia de utilização;01/07/2004;;Alto;MANAUS;AMAZONAS;;;Suspenso para Averiguações - dados cadastrais inconsistentes e_ou recadastramento;21/03/2026 20:26
00091652000421;Companhia de Pesquisa de Recursos Minerais;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;27;Porte e uso de motosserra - Lei nº 12.651/2010: art. 69, § 1º;01/07/2004;;...;MANAUS;AMAZONAS;;;Suspenso para Averiguações - dados cadastrais inconsistentes e_ou recadastramento;21/03/2026 20:26
00130132000723;IBRAP INDÚSTRIA BRASILEIRA DE ALUMÍNIO E PLÁSTICOS SA;3;Indústria Metalúrgica;4;Produção de laminados, ligas, artefatos de metais não-ferrosos com ou sem tratamento de superfície, inclusive galvanoplastia;17/11/2023;;Alto;MANAUS;AMAZONAS;-2,906667;-60,029722;Ativa;21/03/2026 20:26
00130132000723;IBRAP INDÚSTRIA BRASILEIRA DE ALUMÍNIO E PLÁSTICOS SA;3;Indústria Metalúrgica;5;Relaminação de metais não-ferrosos, inclusive ligas;20/02/2025;;Alto;MANAUS;AMAZONAS;-2,906667;-60,029722;Ativa;21/03/2026 20:26
00130132000723;IBRAP INDÚSTRIA BRASILEIRA DE ALUMÍNIO E PLÁSTICOS SA;12;Indústria de Produtos de Matéria Plástica.;2;Fabricação de artefatos de material plástico;17/11/2023;;Pequeno;MANAUS;AMAZONAS;-2,906667;-60,029722;Ativa;21/03/2026 20:26
00246614000158;E. PINTO DE SANTANA;7;Indústria de Madeira;4;Fabricação de estruturas de madeira e de móveis;28/12/2009;;Médio;MANICORE;AMAZONAS;-5,809167;-61,300278;Ativa;21/03/2026 20:26
00246614000158;E. PINTO DE SANTANA;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;27;Porte e uso de motosserra - Lei nº 12.651/2010: art. 69, § 1º;07/11/2014;;...;MANICORE;AMAZONAS;-5,809167;-61,300278;Ativa;21/03/2026 20:26
00254336000180;BELLATOR COMERCIO DE PRODUTOS DA CONSTRUCAO CIVIL LTDA ME;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;20/09/1994;;Alto;MANAUS;AMAZONAS;-3,131056;-60,001167;Ativa;21/03/2026 20:26
00254336000180;BELLATOR COMERCIO DE PRODUTOS DA CONSTRUCAO CIVIL LTDA ME;18;Transporte, Terminais, Depósitos e Comércio;7;Comércio de produtos químicos e produtos perigosos;20/09/1994;;Alto;MANAUS;AMAZONAS;-3,131056;-60,001167;Ativa;21/03/2026 20:26
00254336000180;BELLATOR COMERCIO DE PRODUTOS DA CONSTRUCAO CIVIL LTDA ME;18;Transporte, Terminais, Depósitos e Comércio;64;Comércio de produtos químicos e produtos perigosos - Resolução CONAMA nº 463/2014 / Resolução CONAMA nº 472/2015;18/08/2021;;Alto;MANAUS;AMAZONAS;-3,131056;-60,001167;Ativa;21/03/2026 20:26
00255445000112;J.C.M. REVENDEDORA DE DERIVADOS DE PETROLEO LTDA;18;Transporte, Terminais, Depósitos e Comércio;1;Transporte de cargas perigosas;09/10/2024;;Alto;IRANDUBA;AMAZONAS;-3,292889;-60,188556;Ativa;21/03/2026 20:26
00255445000112;J.C.M. REVENDEDORA DE DERIVADOS DE PETROLEO LTDA;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;15/09/1994;;Alto;IRANDUBA;AMAZONAS;-3,292889;-60,188556;Ativa;21/03/2026 20:26
00255445000201;JCM REVENDEDORA DE DERIVADOS DE PETRÓLEO LTDA;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;01/10/2007;;Alto;IRANDUBA;AMAZONAS;-3,170556;-60,096667;Ativa;21/03/2026 20:26
00261277000178;ROGACIANO RODRIGUES DA SILVA - ME;7;Indústria de Madeira;1;Serraria e desdobramento de madeira;03/11/2005;;Médio;LABREA;AMAZONAS;-7,266889;-64,797639;Ativa;21/03/2026 20:26
00263345000138;TAI ENGENHARIA E CONSTRUÇÕES LTDA;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;27;Porte e uso de motosserra - Lei nº 12.651/2010: art. 69, § 1º;07/11/2019;;...;MANAUS;AMAZONAS;-3,107222;-60,026111;Ativa;21/03/2026 20:26
00265417000186;BERG WOOD COMERCIO DE MADEIRA LTDA ME;20;Uso de Recursos Naturais;34;exploração econômica da madeira ou lenha e subprodutos florestais - comércio varejista;08/11/2012;29/06/2018;Médio;MANAUS;AMAZONAS;-3,008556;-59,943972;Ativa;21/03/2026 20:26
00265417000186;BERG WOOD COMERCIO DE MADEIRA LTDA ME;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;68;Comércio varejista de madeira, de lenha e de outros subprodutos florestais - Lei nº 12.651/2012: art. 37;29/06/2018;;...;MANAUS;AMAZONAS;-3,008556;-59,943972;Ativa;21/03/2026 20:26
