CNPJ;Razão Social;Código da categoria;Descrição da categoria;Código da atividade;Descrição da atividade;Data de início da atividade;Data de término da atividade;Potenc. de Pol. da atividade;Município;Estado;Latitude;Longitude;Situação cadastral;Última Atualização Relatório
00080671006736;CARAMURU ALIMENTOS S/A.;18;Transporte, Terminais, Depósitos e Comércio;3;Marinas, portos e aeroportos;02/10/2017;;Alto;SANTANA;AMAPA;-0,060167;-51,1675;Ativa;21/03/2026 20:26
00305150000103;G I TACCA COMERCIO LTDA;7;Indústria de Madeira;1;Serraria e desdobramento de madeira;23/12/2003;30/09/2021;Médio;MACAPA;AMAPA;;;Encerrado;21/03/2026 20:26
00305150000103;G I TACCA COMERCIO LTDA;20;Uso de Recursos Naturais;2;Exploração econômica da madeira ou lenha e subprodutos florestais (floresta nativa);23/12/2003;30/09/2021;Médio;MACAPA;AMAPA;;;Encerrado;21/03/2026 20:26
00310506000105;DOMESTILAR LTDA;20;Uso de Recursos Naturais;9;Consumo de madeira, lenha ou carvão vegetal;24/11/2014;29/06/2018;...;MACAPA;AMAPA;0,022028;-51,075561;Ativa;21/03/2026 20:26
00310506000105;DOMESTILAR LTDA;20;Uso de Recursos Naturais;52;comércio de móveis compostos, no todo ou em parte, por painéis de madeira industrializada, tais como MDF, compensado ou aglomerado;24/11/1994;29/06/2018;...;MACAPA;AMAPA;0,022028;-51,075561;Ativa;21/03/2026 20:26
00310506000105;DOMESTILAR LTDA;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;1;Reparação de aparelhos de refrigeração;02/02/2005;16/02/2018;...;MACAPA;AMAPA;0,022028;-51,075561;Ativa;21/03/2026 20:26
00310506000105;DOMESTILAR LTDA;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;48;Consumo industrial de madeira, de lenha e de carvão vegetal - Lei nº 12.651/2012: art. 34;29/06/2018;;...;MACAPA;AMAPA;0,022028;-51,075561;Ativa;21/03/2026 20:26
00348003010000;EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA;20;Uso de Recursos Naturais;5;Utilização do patrimônio genético natural;01/01/2018;;Médio;MACAPA;AMAPA;-0,012889;-51,083306;Ativa;21/03/2026 20:26
00348003010000;EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA;20;Uso de Recursos Naturais;17;atividade agrícola e pecuária;17/02/1982;29/06/2018;...;MACAPA;AMAPA;-0,012889;-51,083306;Ativa;21/03/2026 20:26
00348003010000;EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA;20;Uso de Recursos Naturais;21;Importação ou exportação de fauna nativa brasileira;14/07/2016;06/04/2022;Médio;MACAPA;AMAPA;-0,012889;-51,083306;Ativa;21/03/2026 20:26
00348003010000;EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;4;Importador de Baterias para comercialização de forma direta ou indireta;01/01/2014;29/06/2018;Alto;MACAPA;AMAPA;-0,012889;-51,083306;Ativa;21/03/2026 20:26
00348003010000;EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;5;Experimentação com agroquímicos - Lei nº 7.802/1989;01/01/2014;;...;MACAPA;AMAPA;-0,012889;-51,083306;Ativa;21/03/2026 20:26
00348003010000;EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;27;Porte e uso de motosserra - Lei nº 12.651/2010: art. 69, § 1º;31/03/2022;;...;MACAPA;AMAPA;-0,012889;-51,083306;Ativa;21/03/2026 20:26
