CNPJ;Razão Social;Código da categoria;Descrição da categoria;Código da atividade;Descrição da atividade;Data de início da atividade;Data de término da atividade;Potenc. de Pol. da atividade;Município;Estado;Latitude;Longitude;Situação cadastral;Última Atualização Relatório
00000000433381;BANCO DO BRASIL S/A;20;Uso de Recursos Naturais;17;atividade agrícola e pecuária;02/06/1999;29/06/2018;...;SALVADOR;BAHIA;;;Encerrado;21/03/2026 20:26
00000000433381;BANCO DO BRASIL S/A;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;62;Manutenção de área passível de Ato Declaratório Ambiental - Lei nº 6.938/1981: art. 17-O;29/06/2018;01/09/2021;...;SALVADOR;BAHIA;;;Encerrado;21/03/2026 20:26
00000802004199;HC PNEUS S/A;18;Transporte, Terminais, Depósitos e Comércio;70;importação de pneus e similares;31/07/2007;29/06/2018;...;SALVADOR;BAHIA;-12,971111;-38,510833;Ativa;21/03/2026 20:26
00000802004199;HC PNEUS S/A;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;45;Importação de pneus e similares - Resolução CONAMA nº 416/2009;29/06/2018;;...;SALVADOR;BAHIA;-12,971111;-38,510833;Ativa;21/03/2026 20:26
00000802004199;HC PNEUS S/A;98;Veículos Automotores - Pneus - Pilhas e Baterias;2;Comerciante de Pneus e similares;31/05/2007;11/04/2013;...;SALVADOR;BAHIA;-12,971111;-38,510833;Ativa;21/03/2026 20:26
00000802004350;HC PNEUS S/A;98;Veículos Automotores - Pneus - Pilhas e Baterias;2;Comerciante de Pneus e similares;31/05/2007;11/04/2013;...;FEIRA DE SANTANA;BAHIA;-12,2625;-38,948056;Encerrado;21/03/2026 20:26
00000802004431;HC PNEUS S/A;98;Veículos Automotores - Pneus - Pilhas e Baterias;2;Comerciante de Pneus e similares;30/07/2007;11/04/2013;...;VITORIA DA CONQUISTA;BAHIA;-14,858889;-40,8475;Encerrado;21/03/2026 20:26
00000802005160;HC PNEUS S/A;18;Transporte, Terminais, Depósitos e Comércio;5;Depósitos de produtos químicos e produtos perigosos;04/07/2020;;Alto;ITABUNA;BAHIA;-14,794861;-39,285722;Ativa;21/03/2026 20:26
00028986000450;ELAVADORES ATLAS SHINDLER S/A;4;Indústria Mecânica;1;Fabricação de máquinas, aparelhos, peças, utensílios e acessórios com e sem tratamento térmico ou de superfície;02/04/1996;13/10/2025;Médio;SALVADOR;BAHIA;-12,981667;-38,459667;Encerrado;21/03/2026 20:26
00028986000450;ELAVADORES ATLAS SHINDLER S/A;23;Gerenciamento de Projetos sujeitos a licenciamento ambiental federal;15;outras atividades sujeitas a licenciamento não especificadas anteriormente;13/03/2018;29/06/2018;...;SALVADOR;BAHIA;-12,981667;-38,459667;Encerrado;21/03/2026 20:26
00038166000873;BANCO CENTRAL DO BRASIL;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;1;Reparação de aparelhos de refrigeração;26/11/2015;16/02/2018;...;SALVADOR;BAHIA;-13,0;-38,505456;Encerrado;21/03/2026 20:26
00041327003631;CURINGA DOS PNEUS LTDA;98;Veículos Automotores - Pneus - Pilhas e Baterias;2;Comerciante de Pneus e similares;26/09/2003;11/04/2013;...;TEIXEIRA DE FREITAS;BAHIA;-17,565483;-39,726564;Encerrado;21/03/2026 20:26
00043711000739;DEPARTAMENTO NACIONAL DE OBRAS CONTRA AS SECAS;20;Uso de Recursos Naturais;54;Exploração de recursos aquáticos vivos - Lei nº 11.959/2009: art. 2º, II;09/07/1984;;Médio;SALVADOR;BAHIA;;;Suspenso para Averiguações - dados cadastrais inconsistentes e_ou recadastramento;21/03/2026 20:26
00043711000739;DEPARTAMENTO NACIONAL DE OBRAS CONTRA AS SECAS;22;Obras civis -  não relacionadas no Anexo VIII da Lei nº 6.938/1981;2;Construção de barragens e diques - Lei nº 6.938/1981: art. 10;09/07/1984;;...;SALVADOR;BAHIA;;;Suspenso para Averiguações - dados cadastrais inconsistentes e_ou recadastramento;21/03/2026 20:26
00043711000739;DEPARTAMENTO NACIONAL DE OBRAS CONTRA AS SECAS;22;Obras civis -  não relacionadas no Anexo VIII da Lei nº 6.938/1981;5;Abertura de barras, embocaduras e canais - Lei nº 6.938/1981: art. 10;09/07/1984;;...;SALVADOR;BAHIA;;;Suspenso para Averiguações - dados cadastrais inconsistentes e_ou recadastramento;21/03/2026 20:26
00043711000739;DEPARTAMENTO NACIONAL DE OBRAS CONTRA AS SECAS;23;Gerenciamento de Projetos sujeitos a licenciamento ambiental federal;26;Recursos Hídricos;09/07/1984;29/06/2018;...;SALVADOR;BAHIA;;;Suspenso para Averiguações - dados cadastrais inconsistentes e_ou recadastramento;21/03/2026 20:26
00048785004674;INDAIA BRASIL AGUAS MINERAIS LTDA;1;Extração e Tratamento de Minerais;3;Lavra subterrânea com ou sem beneficiamento;22/08/2002;;Alto;DIAS D'AVILA;BAHIA;-12,59725;-38,328556;Ativa;21/03/2026 20:26
00048785004674;INDAIA BRASIL AGUAS MINERAIS LTDA;16;Indústria de Produtos Alimentares e Bebidas;13;Fabricação de bebidas não-alcoólicas, bem como engarrafamento e gaseificação e águas minerais;01/01/2001;;Médio;DIAS D'AVILA;BAHIA;-12,59725;-38,328556;Ativa;21/03/2026 20:26
00056253000187;NILSON COELHO LOPES;20;Uso de Recursos Naturais;2;Exploração econômica da madeira ou lenha e subprodutos florestais (floresta nativa);02/01/2007;17/06/2015;Médio;SAPEACU;BAHIA;;;Encerrado;21/03/2026 20:26
00058791000100;GUTEMBERG BACELAR BRITO E CIA LTDA;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;1;Reparação de aparelhos de refrigeração;01/02/2018;16/02/2018;...;FEIRA DE SANTANA;BAHIA;-12,258489;-38,9637;Encerrado;21/03/2026 20:26
00058957000199;JOSEVANDO COUTINHO DA SILVA - ME;20;Uso de Recursos Naturais;2;Exploração econômica da madeira ou lenha e subprodutos florestais (floresta nativa);22/09/2001;;Médio;NOVA FATIMA;BAHIA;-11,601667;-39,626944;Ativa;21/03/2026 20:26
00058957000199;JOSEVANDO COUTINHO DA SILVA - ME;20;Uso de Recursos Naturais;32;comércio de materiais de construção que comercializa subprodutos florestais, até cem metros cúbicos ano;22/09/2001;29/06/2018;...;NOVA FATIMA;BAHIA;-11,601667;-39,626944;Ativa;21/03/2026 20:26
00059311001874;FUNDAÇÃO NACIONAL DO INDIO;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;27;Porte e uso de motosserra - Lei nº 12.651/2010: art. 69, § 1º;27/12/2011;;...;EUNAPOLIS;BAHIA;0,0;0,0;Suspenso para Averiguações - dados cadastrais inconsistentes e_ou recadastramento;21/03/2026 20:26
00060052000153;JC MADEIRAS COMERCIO E TRANSPORTE LTDA;20;Uso de Recursos Naturais;32;comércio de materiais de construção que comercializa subprodutos florestais, até cem metros cúbicos ano;10/02/2014;29/06/2018;...;ITABERABA;BAHIA;-12,479444;-40,4075;Encerrado;21/03/2026 20:26
00061091000175;J M GAMA CONCEIÇÃO;16;Indústria de Produtos Alimentares e Bebidas;1;Beneficiamento, moagem, torrefação e fabricação de produtos alimentares;01/04/2004;;Médio;CAMPO FORMOSO;BAHIA;;;Suspenso para Averiguações - dados cadastrais inconsistentes e_ou recadastramento;21/03/2026 20:26
00061091000175;J M GAMA CONCEIÇÃO;20;Uso de Recursos Naturais;2;Exploração econômica da madeira ou lenha e subprodutos florestais (floresta nativa);01/01/2002;21/03/2002;Médio;CAMPO FORMOSO;BAHIA;;;Suspenso para Averiguações - dados cadastrais inconsistentes e_ou recadastramento;21/03/2026 20:26
00061091000175;J M GAMA CONCEIÇÃO;20;Uso de Recursos Naturais;9;Consumo de madeira, lenha ou carvão vegetal;01/04/2004;29/06/2018;...;CAMPO FORMOSO;BAHIA;;;Suspenso para Averiguações - dados cadastrais inconsistentes e_ou recadastramento;21/03/2026 20:26
00061091000175;J M GAMA CONCEIÇÃO;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;48;Consumo industrial de madeira, de lenha e de carvão vegetal - Lei nº 12.651/2012: art. 34;29/06/2018;;...;CAMPO FORMOSO;BAHIA;;;Suspenso para Averiguações - dados cadastrais inconsistentes e_ou recadastramento;21/03/2026 20:26
00062382000188;POSTO 4 COMERCIO DE COMBUSTIVEIS LTDA;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;01/01/2001;;Alto;SALVADOR;BAHIA;-12,9175;-38,456111;Ativa;21/03/2026 20:26
00062382000269;POSTO 4 COMERCIO DE COMBUSTIVEIS LTDA;18;Transporte, Terminais, Depósitos e Comércio;5;Depósitos de produtos químicos e produtos perigosos;01/01/2001;;Alto;SALVADOR;BAHIA;-12,926667;-38,468611;Ativa;21/03/2026 20:26
00062382000269;POSTO 4 COMERCIO DE COMBUSTIVEIS LTDA;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;01/01/2001;;Alto;SALVADOR;BAHIA;-12,926667;-38,468611;Ativa;21/03/2026 20:26
00062382000269;POSTO 4 COMERCIO DE COMBUSTIVEIS LTDA;18;Transporte, Terminais, Depósitos e Comércio;80;Depósito de produtos químicos e produtos perigosos - Lei nº 12.305/2010;01/01/2001;;Alto;SALVADOR;BAHIA;-12,926667;-38,468611;Ativa;21/03/2026 20:26
00062382000340;POSTO 4 COMERCIO DE COMBUSTIVEIS LTDA;18;Transporte, Terminais, Depósitos e Comércio;1;Transporte de cargas perigosas;18/06/2012;;Alto;SALVADOR;BAHIA;-12,913889;-38,445833;Ativa;21/03/2026 20:26
00062382000340;POSTO 4 COMERCIO DE COMBUSTIVEIS LTDA;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;01/01/2001;;Alto;SALVADOR;BAHIA;-12,913889;-38,445833;Ativa;21/03/2026 20:26
00062382000420;POSTO 4 COMERCIO DE COMBUSTIVEIS LTDA;18;Transporte, Terminais, Depósitos e Comércio;5;Depósitos de produtos químicos e produtos perigosos;01/01/2001;;Alto;SALVADOR;BAHIA;-12,935278;-38,460556;Ativa;21/03/2026 20:26
00062382000420;POSTO 4 COMERCIO DE COMBUSTIVEIS LTDA;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;01/01/2001;;Alto;SALVADOR;BAHIA;-12,935278;-38,460556;Ativa;21/03/2026 20:26
00062382000420;POSTO 4 COMERCIO DE COMBUSTIVEIS LTDA;18;Transporte, Terminais, Depósitos e Comércio;80;Depósito de produtos químicos e produtos perigosos - Lei nº 12.305/2010;01/01/2001;;Alto;SALVADOR;BAHIA;-12,935278;-38,460556;Ativa;21/03/2026 20:26
00062616000197;SUPERMERCADOS RONDELLI LTDA;18;Transporte, Terminais, Depósitos e Comércio;7;Comércio de produtos químicos e produtos perigosos;22/09/2020;01/12/2022;Alto;TEIXEIRA DE FREITAS;BAHIA;-17,53995;-39,734803;Encerrado;21/03/2026 20:26
00062616000197;SUPERMERCADOS RONDELLI LTDA;18;Transporte, Terminais, Depósitos e Comércio;10;Comércio de produtos químicos e produtos perigosos - Protocolo de Montreal;20/05/2019;01/12/2022;Alto;TEIXEIRA DE FREITAS;BAHIA;-17,53995;-39,734803;Encerrado;21/03/2026 20:26
00062616000197;SUPERMERCADOS RONDELLI LTDA;18;Transporte, Terminais, Depósitos e Comércio;66;Comércio de produtos químicos e produtos perigosos - Lei nº 7.802/1989;01/12/2022;01/12/2022;Alto;TEIXEIRA DE FREITAS;BAHIA;-17,53995;-39,734803;Encerrado;21/03/2026 20:26
00062616000197;SUPERMERCADOS RONDELLI LTDA;20;Uso de Recursos Naturais;2;Exploração econômica da madeira ou lenha e subprodutos florestais (floresta nativa);01/01/2014;20/05/2019;Médio;TEIXEIRA DE FREITAS;BAHIA;-17,53995;-39,734803;Encerrado;21/03/2026 20:26
