CNPJ;Razão Social;Código da categoria;Descrição da categoria;Código da atividade;Descrição da atividade;Data de início da atividade;Data de término da atividade;Potenc. de Pol. da atividade;Município;Estado;Latitude;Longitude;Situação cadastral;Última Atualização Relatório
00000802000606;HC PNEUS S/A;98;Veículos Automotores - Pneus - Pilhas e Baterias;2;Comerciante de Pneus e similares;13/04/1983;11/04/2013;...;FORTALEZA;CEARA;0,0;0,0;Encerrado;21/03/2026 20:26
00028986000531;ELAVADORES ATLAS SHINDLER S/A;23;Gerenciamento de Projetos sujeitos a licenciamento ambiental federal;15;outras atividades sujeitas a licenciamento não especificadas anteriormente;13/03/2018;29/06/2018;...;FORTALEZA;CEARA;-3,741056;-38,515556;Encerrado;21/03/2026 20:26
00043711000143;DEPARTAMENTO NACIONAL DE OBRAS CONTRA AS SECAS - DNOCS;20;Uso de Recursos Naturais;17;atividade agrícola e pecuária;26/11/2012;29/06/2018;...;FORTALEZA;CEARA;-3,728556;-38,538306;Ativa;21/03/2026 20:26
00043711000143;DEPARTAMENTO NACIONAL DE OBRAS CONTRA AS SECAS - DNOCS;20;Uso de Recursos Naturais;54;Exploração de recursos aquáticos vivos - Lei nº 11.959/2009: art. 2º, II;26/11/2012;;Médio;FORTALEZA;CEARA;-3,728556;-38,538306;Ativa;21/03/2026 20:26
00043711000143;DEPARTAMENTO NACIONAL DE OBRAS CONTRA AS SECAS - DNOCS;20;Uso de Recursos Naturais;63;Exploração econômica da madeira ou lenha e subprodutos florestais - Instrução Normativa IBAMA nº 21/2014: 7º, II;26/04/2024;;Médio;FORTALEZA;CEARA;-3,728556;-38,538306;Ativa;21/03/2026 20:26
00043711000143;DEPARTAMENTO NACIONAL DE OBRAS CONTRA AS SECAS - DNOCS;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;62;Manutenção de área passível de Ato Declaratório Ambiental - Lei nº 6.938/1981: art. 17-O;29/06/2018;01/09/2021;...;FORTALEZA;CEARA;-3,728556;-38,538306;Ativa;21/03/2026 20:26
00043711000143;DEPARTAMENTO NACIONAL DE OBRAS CONTRA AS SECAS - DNOCS;23;Gerenciamento de Projetos sujeitos a licenciamento ambiental federal;26;Recursos Hídricos;18/06/1982;29/06/2018;...;FORTALEZA;CEARA;-3,728556;-38,538306;Ativa;21/03/2026 20:26
00048785000172;INDAIA BRASIL ÁGUAS MINERAIS LTDA;20;Uso de Recursos Naturais;17;atividade agrícola e pecuária;20/09/2007;29/06/2018;...;FORTALEZA;CEARA;-3,763056;-38,523056;Encerrado;21/03/2026 20:26
00048785000172;INDAIA BRASIL ÁGUAS MINERAIS LTDA;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;62;Manutenção de área passível de Ato Declaratório Ambiental - Lei nº 6.938/1981: art. 17-O;29/06/2018;01/09/2021;...;FORTALEZA;CEARA;-3,763056;-38,523056;Encerrado;21/03/2026 20:26
00048785000334;INDAIA BRASIL ÁGUAS MINERAIS LTDA;16;Indústria de Produtos Alimentares e Bebidas;13;Fabricação de bebidas não-alcoólicas, bem como engarrafamento e gaseificação e águas minerais;01/01/2001;17/11/2017;Médio;FORTALEZA;CEARA;-3,800133;-38,452964;Encerrado;21/03/2026 20:26
00048785002892;INDAIÁ BRASIL ÁGUAS MINERAIS LTDA;16;Indústria de Produtos Alimentares e Bebidas;13;Fabricação de bebidas não-alcoólicas, bem como engarrafamento e gaseificação e águas minerais;09/12/2014;;Médio;HORIZONTE;CEARA;-4,075;-38,375833;Ativa;21/03/2026 20:26
00057240003229;CIPLAN - Cimento Planalto S A;14;Indústrias Diversas;1;Usinas de produção de concreto;01/07/2004;05/04/2013;Pequeno;FORTALEZA;CEARA;0,0;0,0;Encerrado;21/03/2026 20:26
00059993000177;TROLLER VEÍCULOS ESPECIAIS LTDA;6;Indústria de Material de Transporte;1;Fabricação e montagem de veículos rodoviários e ferroviários, peças e acessórios;01/01/2001;31/12/2006;Médio;HORIZONTE;CEARA;;;Encerrado;21/03/2026 20:26
00059993000177;TROLLER VEÍCULOS ESPECIAIS LTDA;18;Transporte, Terminais, Depósitos e Comércio;9;importador de veículos e/ou baterias;01/07/2003;31/12/2006;Alto;HORIZONTE;CEARA;;;Encerrado;21/03/2026 20:26
00059993000177;TROLLER VEÍCULOS ESPECIAIS LTDA;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;3;Utilização de substâncias controladas - Protocolo de Montreal;01/01/2001;31/12/2006;...;HORIZONTE;CEARA;;;Encerrado;21/03/2026 20:26
00059993000177;TROLLER VEÍCULOS ESPECIAIS LTDA;98;Veículos Automotores - Pneus - Pilhas e Baterias;1;Importador de Pneus e similares;01/07/2004;31/12/2006;...;HORIZONTE;CEARA;;;Encerrado;21/03/2026 20:26
