CNPJ;Razão Social;Código da categoria;Descrição da categoria;Código da atividade;Descrição da atividade;Data de início da atividade;Data de término da atividade;Potenc. de Pol. da atividade;Município;Estado;Latitude;Longitude;Situação cadastral;Última Atualização Relatório
00000000119245;BANCO DO BRASIL S/A - GERIE BRASÍLIA-DF;24;Serviços Administrativos;1;administração de conglomerado empresarial;02/09/2004;11/04/2013;...;BRASILIA;DISTRITO FEDERAL;;;Encerrado;21/03/2026 20:26
00000000584401;BANCO DO BRASIL S.A.;20;Uso de Recursos Naturais;17;atividade agrícola e pecuária;26/06/2007;29/06/2018;...;BRASILIA;DISTRITO FEDERAL;-15,7975;-47,881667;Ativa;21/03/2026 20:26
00000000584401;BANCO DO BRASIL S.A.;20;Uso de Recursos Naturais;47;manutenção de RPPN;01/06/2007;29/06/2018;...;BRASILIA;DISTRITO FEDERAL;-15,7975;-47,881667;Ativa;21/03/2026 20:26
00000000584401;BANCO DO BRASIL S.A.;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;3;Utilização de substâncias controladas - Protocolo de Montreal;26/09/2016;;...;BRASILIA;DISTRITO FEDERAL;-15,7975;-47,881667;Ativa;21/03/2026 20:26
00000000584401;BANCO DO BRASIL S.A.;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;62;Manutenção de área passível de Ato Declaratório Ambiental - Lei nº 6.938/1981: art. 17-O;29/06/2018;01/09/2021;...;BRASILIA;DISTRITO FEDERAL;-15,7975;-47,881667;Ativa;21/03/2026 20:26
00000042000122;AUTO POSTO GASOL LTDA;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;01/01/2001;28/06/2013;Alto;BRASILIA;DISTRITO FEDERAL;0,0;0,0;Encerrado;21/03/2026 20:26
00000042000122;AUTO POSTO GASOL LTDA;20;Uso de Recursos Naturais;2;Exploração econômica da madeira ou lenha e subprodutos florestais (floresta nativa);01/01/2001;28/06/2013;Médio;BRASILIA;DISTRITO FEDERAL;0,0;0,0;Encerrado;21/03/2026 20:26
00000042000203;AUTO POSTO GASOL LTDA;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;01/01/2001;27/06/2013;Alto;BRASILIA;DISTRITO FEDERAL;0,0;0,0;Encerrado;21/03/2026 20:26
00000042000203;AUTO POSTO GASOL LTDA;20;Uso de Recursos Naturais;2;Exploração econômica da madeira ou lenha e subprodutos florestais (floresta nativa);01/01/2001;27/06/2013;Médio;BRASILIA;DISTRITO FEDERAL;0,0;0,0;Encerrado;21/03/2026 20:26
00000042000394;AUTO POSTO GASOL LTDA;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;01/01/2001;28/06/2013;Alto;BRASILIA;DISTRITO FEDERAL;0,0;0,0;Encerrado;21/03/2026 20:26
00000042000394;AUTO POSTO GASOL LTDA;20;Uso de Recursos Naturais;2;Exploração econômica da madeira ou lenha e subprodutos florestais (floresta nativa);01/01/2001;28/06/2013;Médio;BRASILIA;DISTRITO FEDERAL;0,0;0,0;Encerrado;21/03/2026 20:26
00000042000556;AUTO POSTO GASOL LTDA;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;01/01/2001;28/06/2013;Alto;BRASILIA;DISTRITO FEDERAL;;;Encerrado;21/03/2026 20:26
00000042000556;AUTO POSTO GASOL LTDA;20;Uso de Recursos Naturais;2;Exploração econômica da madeira ou lenha e subprodutos florestais (floresta nativa);01/01/2001;28/06/2013;Médio;BRASILIA;DISTRITO FEDERAL;;;Encerrado;21/03/2026 20:26
00000042000637;AUTO POSTO GASOL LTDA;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;01/01/2001;28/06/2013;Alto;BRASILIA;DISTRITO FEDERAL;0,0;0,0;Encerrado;21/03/2026 20:26
00000042000718;AUTO POSTO GASOL LTDA;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;01/01/2001;28/06/2013;Alto;BRASILIA;DISTRITO FEDERAL;0,0;0,0;Encerrado;21/03/2026 20:26
00000042000718;AUTO POSTO GASOL LTDA;20;Uso de Recursos Naturais;2;Exploração econômica da madeira ou lenha e subprodutos florestais (floresta nativa);01/01/2001;28/06/2013;Médio;BRASILIA;DISTRITO FEDERAL;0,0;0,0;Encerrado;21/03/2026 20:26
00000042000807;AUTO POSTO GASOL LTDA;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;01/01/2001;28/06/2013;Alto;BRASILIA;DISTRITO FEDERAL;0,0;0,0;Encerrado;21/03/2026 20:26
00000042000807;AUTO POSTO GASOL LTDA;20;Uso de Recursos Naturais;2;Exploração econômica da madeira ou lenha e subprodutos florestais (floresta nativa);01/01/2001;28/06/2013;Médio;BRASILIA;DISTRITO FEDERAL;0,0;0,0;Encerrado;21/03/2026 20:26
00000042000980;AUTO POSTO GASOL LTDA;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;01/01/2001;26/08/2014;Alto;BRASILIA;DISTRITO FEDERAL;-15,876808;-47,834472;Cadastramento indevido;21/03/2026 20:26
00000042001013;AUTO POSTO GASOL LTDA;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;01/01/2001;28/06/2013;Alto;BRASILIA;DISTRITO FEDERAL;0,0;0,0;Encerrado;21/03/2026 20:26
00000042001013;AUTO POSTO GASOL LTDA;18;Transporte, Terminais, Depósitos e Comércio;54;comércio de combustíveis e derivados de petróleo - Gás GLP;07/07/1995;28/06/2013;Alto;BRASILIA;DISTRITO FEDERAL;0,0;0,0;Encerrado;21/03/2026 20:26
00000042001013;AUTO POSTO GASOL LTDA;20;Uso de Recursos Naturais;2;Exploração econômica da madeira ou lenha e subprodutos florestais (floresta nativa);01/01/2001;24/06/2013;Médio;BRASILIA;DISTRITO FEDERAL;0,0;0,0;Encerrado;21/03/2026 20:26
00000166000108;IRMAOS RODOPOULOS LTDA;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;3;Utilização de substâncias controladas - Protocolo de Montreal;11/04/2013;;...;BRASILIA;DISTRITO FEDERAL;-15,841667;-47,874722;Suspenso para Averiguações - dados cadastrais inconsistentes e_ou recadastramento;21/03/2026 20:26
00000208000100;BRB-BANCO DE BRASÍLIA S/A;22;Obras civis -  não relacionadas no Anexo VIII da Lei nº 6.938/1981;8;Outras obras de infraestrutura - Lei nº 6.938/1981: art. 10;03/09/2001;15/09/2014;...;BRASILIA;DISTRITO FEDERAL;-15,815808;-47,895014;Ativa;21/03/2026 20:26
