CNPJ;Razão Social;Código da categoria;Descrição da categoria;Código da atividade;Descrição da atividade;Data de início da atividade;Data de término da atividade;Potenc. de Pol. da atividade;Município;Estado;Latitude;Longitude;Situação cadastral;Última Atualização Relatório
00001180004547;CENTRAIS ELETRICAS BRASILEIRAS SA ELETROBRAS;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;34;Transmissão de energia elétrica - Lei nº 6.938/1981: art. 10;01/07/2024;;...;LINHARES;ESPIRITO SANTO;-19,402703;-40,106903;Ativa;21/03/2026 20:26
00001180005608;CENTRAIS ELETRICAS BRASILEIRAS SA ELETROBRAS;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;34;Transmissão de energia elétrica - Lei nº 6.938/1981: art. 10;01/07/2024;;...;VIANA;ESPIRITO SANTO;-20,369908;-40,437017;Ativa;21/03/2026 20:26
00001180005942;CENTRAIS ELETRICAS BRASILEIRAS SA ELETROBRAS;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;34;Transmissão de energia elétrica - Lei nº 6.938/1981: art. 10;01/07/2024;;...;SERRA;ESPIRITO SANTO;-20,193425;-40,293344;Ativa;21/03/2026 20:26
00022128000156;TITRONIC PLÁSTICOS INDUSTRIAIS LTDA;12;Indústria de Produtos de Matéria Plástica.;2;Fabricação de artefatos de material plástico;01/01/2001;;Pequeno;SERRA;ESPIRITO SANTO;-20,262197;-40,209961;Ativa;21/03/2026 20:26
00028986000701;ELEVADORES ATLAS SCHINDLER LTDA;4;Indústria Mecânica;1;Fabricação de máquinas, aparelhos, peças, utensílios e acessórios com e sem tratamento térmico ou de superfície;18/05/1999;;Médio;VITORIA;ESPIRITO SANTO;-20,287556;-40,304333;Ativa;21/03/2026 20:26
00028986000701;ELEVADORES ATLAS SCHINDLER LTDA;23;Gerenciamento de Projetos sujeitos a licenciamento ambiental federal;15;outras atividades sujeitas a licenciamento não especificadas anteriormente;18/04/2018;29/06/2018;...;VITORIA;ESPIRITO SANTO;-20,287556;-40,304333;Ativa;21/03/2026 20:26
00041327004603;CURINGA DOS PNEUS LTDA;98;Veículos Automotores - Pneus - Pilhas e Baterias;2;Comerciante de Pneus e similares;03/08/2006;11/04/2013;...;VILA VELHA;ESPIRITO SANTO;-20,367803;-40,323944;Encerrado;21/03/2026 20:26
00063960004279;WMB SUPERMERCADOS DO BRASIL LTDA.;20;Uso de Recursos Naturais;2;Exploração econômica da madeira ou lenha e subprodutos florestais (floresta nativa);01/07/2005;16/12/2008;Médio;VITORIA;ESPIRITO SANTO;-20,316667;-40,303;Ativa;21/03/2026 20:26
00063960004279;WMB SUPERMERCADOS DO BRASIL LTDA.;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;3;Utilização de substâncias controladas - Protocolo de Montreal;01/07/2005;12/12/2019;...;VITORIA;ESPIRITO SANTO;-20,316667;-40,303;Ativa;21/03/2026 20:26
00063960006050;WMB SUPERMERCADOS DO BRASIL LTDA;20;Uso de Recursos Naturais;2;Exploração econômica da madeira ou lenha e subprodutos florestais (floresta nativa);29/08/2006;15/12/2008;Médio;VITORIA;ESPIRITO SANTO;-20,315917;-40,302306;Ativa;21/03/2026 20:26
