CNPJ;Razão Social;Código da categoria;Descrição da categoria;Código da atividade;Descrição da atividade;Data de início da atividade;Data de término da atividade;Potenc. de Pol. da atividade;Município;Estado;Latitude;Longitude;Situação cadastral;Última Atualização Relatório
00000000022160;BANCO DO BRASIL S.A.;24;Serviços Administrativos;1;administração de conglomerado empresarial;07/12/1942;11/04/2013;...;RIO VERDE;GOIAS;;;Encerrado;21/03/2026 20:27
00000000253723;BANCO DO BRASIL SA;24;Serviços Administrativos;1;administração de conglomerado empresarial;12/12/1997;11/04/2013;...;JANDAIA;GOIAS;;;Encerrado;21/03/2026 20:27
00000000735639;BANCO DO BRASIL S/A;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;1;Reparação de aparelhos de refrigeração;02/10/2012;16/02/2018;...;GOIANIA;GOIAS;-16,671858;-49,258639;Encerrado;21/03/2026 20:27
00000000735639;BANCO DO BRASIL S/A;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;3;Utilização de substâncias controladas - Protocolo de Montreal;02/10/2012;23/11/2018;...;GOIANIA;GOIAS;-16,671858;-49,258639;Encerrado;21/03/2026 20:27
00000251283100;EDMO DIAS PINHEIRO;20;Uso de Recursos Naturais;9;Consumo de madeira, lenha ou carvão vegetal;31/07/2012;29/06/2018;...;SILVANIA;GOIAS;;;Cadastramento indevido;21/03/2026 20:27
00000251283100;EDMO DIAS PINHEIRO;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;48;Consumo industrial de madeira, de lenha e de carvão vegetal - Lei nº 12.651/2012: art. 34;29/06/2018;23/10/2019;...;SILVANIA;GOIAS;;;Cadastramento indevido;21/03/2026 20:27
00000463000668;casa dos parafusos ltda;18;Transporte, Terminais, Depósitos e Comércio;67;Comércio de motosserra;01/07/2002;29/06/2018;...;GOIANIA;GOIAS;;;Encerrado;21/03/2026 20:27
00001180002099;CENTRAIS ELETRICAS BRASILEIRAS SA ELETROBRAS;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;34;Transmissão de energia elétrica - Lei nº 6.938/1981: art. 10;01/07/2024;;...;ANAPOLIS;GOIAS;-16,385181;-48,866194;Ativa;21/03/2026 20:27
00001180002099;CENTRAIS ELETRICAS BRASILEIRAS SA ELETROBRAS;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;47;Aplicação de agrotóxicos e afins - Lei nº 7.802/1989;31/10/2025;;...;ANAPOLIS;GOIAS;-16,385181;-48,866194;Ativa;21/03/2026 20:27
00001180002331;CENTRAIS ELETRICAS BRASILEIRAS SA ELETROBRAS;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;34;Transmissão de energia elétrica - Lei nº 6.938/1981: art. 10;01/07/2024;;...;BARRO ALTO;GOIAS;-15,1194;-48,925464;Ativa;21/03/2026 20:27
00001180002331;CENTRAIS ELETRICAS BRASILEIRAS SA ELETROBRAS;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;47;Aplicação de agrotóxicos e afins - Lei nº 7.802/1989;31/10/2025;;...;BARRO ALTO;GOIAS;-15,1194;-48,925464;Ativa;21/03/2026 20:27
