CNPJ;Razão Social;Código da categoria;Descrição da categoria;Código da atividade;Descrição da atividade;Data de início da atividade;Data de término da atividade;Potenc. de Pol. da atividade;Município;Estado;Latitude;Longitude;Situação cadastral;Última Atualização Relatório
00000802000525;HC PNEUS S/A;98;Veículos Automotores - Pneus - Pilhas e Baterias;2;Comerciante de Pneus e similares;13/04/1983;11/04/2013;...;SAO LUIS;MARANHAO;-2,5375;-44,301389;Encerrado;21/03/2026 20:27
00041327001850;CURINGA DOS PNEUS LTDA;18;Transporte, Terminais, Depósitos e Comércio;7;Comércio de produtos químicos e produtos perigosos;10/07/1986;01/06/2020;Alto;IMPERATRIZ;MARANHAO;-5,550381;-47,373047;Encerrado;21/03/2026 20:27
00041327001850;CURINGA DOS PNEUS LTDA;23;Gerenciamento de Projetos sujeitos a licenciamento ambiental federal;15;outras atividades sujeitas a licenciamento não especificadas anteriormente;10/07/1986;16/04/2019;...;IMPERATRIZ;MARANHAO;-5,550381;-47,373047;Encerrado;21/03/2026 20:27
00041327001850;CURINGA DOS PNEUS LTDA;98;Veículos Automotores - Pneus - Pilhas e Baterias;2;Comerciante de Pneus e similares;10/07/1986;11/04/2013;...;IMPERATRIZ;MARANHAO;-5,550381;-47,373047;Encerrado;21/03/2026 20:27
00041327002740;CURINGA EMPREENDIMENTOS IMOBILIARIOS LTDA;18;Transporte, Terminais, Depósitos e Comércio;7;Comércio de produtos químicos e produtos perigosos;15/09/1999;01/06/2020;Alto;BACABAL;MARANHAO;-4,25875;-44,648417;Encerrado;21/03/2026 20:27
00041327002740;CURINGA EMPREENDIMENTOS IMOBILIARIOS LTDA;18;Transporte, Terminais, Depósitos e Comércio;80;Depósito de produtos químicos e produtos perigosos - Lei nº 12.305/2010;29/06/2018;16/04/2019;Alto;BACABAL;MARANHAO;-4,25875;-44,648417;Encerrado;21/03/2026 20:27
00041327002740;CURINGA EMPREENDIMENTOS IMOBILIARIOS LTDA;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;29;troca de óleo lubrificante - Resolução Conama nº 362/2005;15/09/1999;29/06/2018;...;BACABAL;MARANHAO;-4,25875;-44,648417;Encerrado;21/03/2026 20:27
00041327002740;CURINGA EMPREENDIMENTOS IMOBILIARIOS LTDA;98;Veículos Automotores - Pneus - Pilhas e Baterias;2;Comerciante de Pneus e similares;15/09/1999;11/04/2013;...;BACABAL;MARANHAO;-4,25875;-44,648417;Encerrado;21/03/2026 20:27
00041327003470;CURINGA DOS PNEUS LTDA;18;Transporte, Terminais, Depósitos e Comércio;7;Comércio de produtos químicos e produtos perigosos;24/02/2003;01/06/2020;Alto;BALSAS;MARANHAO;-7,53675;-46,032667;Encerrado;21/03/2026 20:27
00041327003470;CURINGA DOS PNEUS LTDA;18;Transporte, Terminais, Depósitos e Comércio;80;Depósito de produtos químicos e produtos perigosos - Lei nº 12.305/2010;29/06/2018;23/04/2019;Alto;BALSAS;MARANHAO;-7,53675;-46,032667;Encerrado;21/03/2026 20:27
00041327003470;CURINGA DOS PNEUS LTDA;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;29;troca de óleo lubrificante - Resolução Conama nº 362/2005;24/02/2003;29/06/2018;...;BALSAS;MARANHAO;-7,53675;-46,032667;Encerrado;21/03/2026 20:27
00041327003470;CURINGA DOS PNEUS LTDA;98;Veículos Automotores - Pneus - Pilhas e Baterias;2;Comerciante de Pneus e similares;24/02/2003;11/04/2013;...;BALSAS;MARANHAO;-7,53675;-46,032667;Encerrado;21/03/2026 20:27
00041327003712;CURINGA DOS PNEUS LTDA;18;Transporte, Terminais, Depósitos e Comércio;7;Comércio de produtos químicos e produtos perigosos;10/10/2003;01/06/2020;Alto;ACAILANDIA;MARANHAO;-5,003389;-47,526833;Encerrado;21/03/2026 20:27
00041327003712;CURINGA DOS PNEUS LTDA;98;Veículos Automotores - Pneus - Pilhas e Baterias;2;Comerciante de Pneus e similares;10/10/2003;11/04/2013;...;ACAILANDIA;MARANHAO;-5,003389;-47,526833;Encerrado;21/03/2026 20:27
00048785001578;INDAIA BRASIL AGUAS MINERAIS LTDA;16;Indústria de Produtos Alimentares e Bebidas;13;Fabricação de bebidas não-alcoólicas, bem como engarrafamento e gaseificação e águas minerais;03/07/1975;23/06/2025;Médio;SAO JOSE DE RIBAMAR;MARANHAO;-2,587417;-44,145778;Ativa;21/03/2026 20:27
00048785001659;INDAIA BRASIL AGUAS MINERAIS LTDA;16;Indústria de Produtos Alimentares e Bebidas;5;Beneficiamento e industrialização de leite e derivados;01/05/1986;20/07/2011;Médio;GOVERNADOR EDISON LOBAO;MARANHAO;-5,646389;-47,393306;Ativa;21/03/2026 20:27
