CNPJ;Razão Social;Código da categoria;Descrição da categoria;Código da atividade;Descrição da atividade;Data de início da atividade;Data de término da atividade;Potenc. de Pol. da atividade;Município;Estado;Latitude;Longitude;Situação cadastral;Última Atualização Relatório
00000000226831;BANCO DO BRASIL S.A;20;Uso de Recursos Naturais;17;atividade agrícola e pecuária;01/01/2007;29/06/2018;...;CAMPO GRANDE;MATO GROSSO DO SUL;;;Cadastramento indevido;21/03/2026 20:27
00005336220007;CORUS AGROFLORESTAL S.A.;20;Uso de Recursos Naturais;1;silvicultura;20/07/2012;23/10/2019;Médio;RIBAS DO RIO PARDO;MATO GROSSO DO SUL;-20,608611;-53,7325;Cadastramento indevido;21/03/2026 20:27
00023704000856;BROOKS AGROPECUARIA LTDA;20;Uso de Recursos Naturais;63;Exploração econômica da madeira ou lenha e subprodutos florestais - Instrução Normativa IBAMA nº 21/2014: 7º, II;11/01/2023;;Médio;TRES LAGOAS;MATO GROSSO DO SUL;-20,790278;-51,674444;Ativa;21/03/2026 20:27
00023704000856;BROOKS AGROPECUARIA LTDA;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;27;Porte e uso de motosserra - Lei nº 12.651/2010: art. 69, § 1º;15/09/2005;;...;TRES LAGOAS;MATO GROSSO DO SUL;-20,790278;-51,674444;Ativa;21/03/2026 20:27
00023704000856;BROOKS AGROPECUARIA LTDA;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;48;Consumo industrial de madeira, de lenha e de carvão vegetal - Lei nº 12.651/2012: art. 34;11/01/2023;;...;TRES LAGOAS;MATO GROSSO DO SUL;-20,790278;-51,674444;Ativa;21/03/2026 20:27
00055978000150;SHOPPING PROCRIADOR LTDA;16;Indústria de Produtos Alimentares e Bebidas;10;Fabricação de rações balanceadas e de alimentos preparados para animais;24/08/2012;;Médio;AQUIDAUANA;MATO GROSSO DO SUL;-20,478806;-55,790056;Ativa;21/03/2026 20:27
00055978000150;SHOPPING PROCRIADOR LTDA;18;Transporte, Terminais, Depósitos e Comércio;66;Comércio de produtos químicos e produtos perigosos - Lei nº 7.802/1989;18/01/2010;;Alto;AQUIDAUANA;MATO GROSSO DO SUL;-20,478806;-55,790056;Ativa;21/03/2026 20:27
00055978000150;SHOPPING PROCRIADOR LTDA;18;Transporte, Terminais, Depósitos e Comércio;67;Comércio de motosserra;28/11/2014;29/06/2018;...;AQUIDAUANA;MATO GROSSO DO SUL;-20,478806;-55,790056;Ativa;21/03/2026 20:27
00055978000150;SHOPPING PROCRIADOR LTDA;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;73;Comercialização de motosserra - Lei nº 12.651/2012: art. 69;29/06/2018;;...;AQUIDAUANA;MATO GROSSO DO SUL;-20,478806;-55,790056;Ativa;21/03/2026 20:27
00055978000231;SHOPPING PROCRIADOR LTDA;18;Transporte, Terminais, Depósitos e Comércio;67;Comércio de motosserra;28/11/2014;29/06/2018;...;ANASTACIO;MATO GROSSO DO SUL;-20,487556;-55,799167;Ativa;21/03/2026 20:27
00055978000231;SHOPPING PROCRIADOR LTDA;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;73;Comercialização de motosserra - Lei nº 12.651/2012: art. 69;29/06/2018;;...;ANASTACIO;MATO GROSSO DO SUL;-20,487556;-55,799167;Ativa;21/03/2026 20:27
00055978000401;SHOPPING PROCRIADOR LTDA EPP;18;Transporte, Terminais, Depósitos e Comércio;67;Comércio de motosserra;01/01/2017;29/06/2018;...;BONITO;MATO GROSSO DO SUL;-21,135806;-56,478306;Ativa;21/03/2026 20:27
00055978000401;SHOPPING PROCRIADOR LTDA EPP;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;73;Comercialização de motosserra - Lei nº 12.651/2012: art. 69;29/06/2018;;...;BONITO;MATO GROSSO DO SUL;-21,135806;-56,478306;Ativa;21/03/2026 20:27
00058756000191;EMPREITEIRA COSTA PINTO LTDA;20;Uso de Recursos Naturais;1;silvicultura;21/10/2013;01/08/2021;Médio;BRASILANDIA;MATO GROSSO DO SUL;-21,256611;-52,035;Ativa;21/03/2026 20:27
00058756000191;EMPREITEIRA COSTA PINTO LTDA;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;3;Utilização de substâncias controladas - Protocolo de Montreal;10/04/2015;29/03/2022;...;BRASILANDIA;MATO GROSSO DO SUL;-21,256611;-52,035;Ativa;21/03/2026 20:27
00058756000191;EMPREITEIRA COSTA PINTO LTDA;22;Obras civis -  não relacionadas no Anexo VIII da Lei nº 6.938/1981;8;Outras obras de infraestrutura - Lei nº 6.938/1981: art. 10;05/05/1994;;...;BRASILANDIA;MATO GROSSO DO SUL;-21,256611;-52,035;Ativa;21/03/2026 20:27
00058980000183;MARCOS ANTONIO VILELA BERTO - ME;7;Indústria de Madeira;1;Serraria e desdobramento de madeira;01/01/2001;29/03/2003;Médio;AGUA CLARA;MATO GROSSO DO SUL;;;Encerrado;21/03/2026 20:27
00058980000183;MARCOS ANTONIO VILELA BERTO - ME;20;Uso de Recursos Naturais;2;Exploração econômica da madeira ou lenha e subprodutos florestais (floresta nativa);01/01/2003;28/04/2011;Médio;AGUA CLARA;MATO GROSSO DO SUL;;;Encerrado;21/03/2026 20:27
00058980000183;MARCOS ANTONIO VILELA BERTO - ME;20;Uso de Recursos Naturais;34;exploração econômica da madeira ou lenha e subprodutos florestais - comércio varejista;25/10/2006;28/04/2011;Médio;AGUA CLARA;MATO GROSSO DO SUL;;;Encerrado;21/03/2026 20:27
00058980000183;MARCOS ANTONIO VILELA BERTO - ME;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;27;Porte e uso de motosserra - Lei nº 12.651/2010: art. 69, § 1º;22/06/2005;28/04/2011;...;AGUA CLARA;MATO GROSSO DO SUL;;;Encerrado;21/03/2026 20:27
00058985000106;AREIA & PEDRA MAT PARA CONSTRUÇÃO LTDA;20;Uso de Recursos Naturais;2;Exploração econômica da madeira ou lenha e subprodutos florestais (floresta nativa);01/01/2001;09/02/2015;Médio;CAMPO GRANDE;MATO GROSSO DO SUL;;;Encerrado;21/03/2026 20:27
00059202000109;FALCO TURISMO LTDA;19;Turismo;1;Complexos turísticos e de lazer, inclusive parques temáticos;01/01/2003;;Pequeno;TRES LAGOAS;MATO GROSSO DO SUL;;;Suspenso para Averiguações - dados cadastrais inconsistentes e_ou recadastramento;21/03/2026 20:27
00059202000109;FALCO TURISMO LTDA;20;Uso de Recursos Naturais;4;atividade de criação e exploração econômica de fauna exótica e de fauna silvestre;01/04/2003;29/06/2018;Médio;TRES LAGOAS;MATO GROSSO DO SUL;;;Suspenso para Averiguações - dados cadastrais inconsistentes e_ou recadastramento;21/03/2026 20:27
00059202000109;FALCO TURISMO LTDA;20;Uso de Recursos Naturais;11;criador conservacionista de fauna silvestre nativa;01/01/2004;11/04/2013;...;TRES LAGOAS;MATO GROSSO DO SUL;;;Suspenso para Averiguações - dados cadastrais inconsistentes e_ou recadastramento;21/03/2026 20:27
00059202000109;FALCO TURISMO LTDA;20;Uso de Recursos Naturais;23;Atividade de criação e exploração econômica de fauna exótica e de fauna silvestre - Resolução CONAMA nº 489/2018: art. 4º, IV;29/06/2018;;Médio;TRES LAGOAS;MATO GROSSO DO SUL;;;Suspenso para Averiguações - dados cadastrais inconsistentes e_ou recadastramento;21/03/2026 20:27
00059202000109;FALCO TURISMO LTDA;20;Uso de Recursos Naturais;46;criação científica de fauna silvestre para fins de conservação;01/01/2004;29/06/2018;...;TRES LAGOAS;MATO GROSSO DO SUL;;;Suspenso para Averiguações - dados cadastrais inconsistentes e_ou recadastramento;21/03/2026 20:27
