CNPJ;Razão Social;Código da categoria;Descrição da categoria;Código da atividade;Descrição da atividade;Data de início da atividade;Data de término da atividade;Potenc. de Pol. da atividade;Município;Estado;Latitude;Longitude;Situação cadastral;Última Atualização Relatório
00000000437700;BANCO DO BRASIL SA;24;Serviços Administrativos;1;administração de conglomerado empresarial;01/07/1998;11/04/2013;...;BARRA DO GARCAS;MATO GROSSO;;;Encerrado;21/03/2026 20:27
00001180003494;CENTRAIS ELETRICAS BRASILEIRAS SA ELETROBRAS;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;35;Geração de energia hidrelétrica - Lei nº 6.938/1981: art. 10;01/07/2024;;...;CHAPADA DOS GUIMARAES;MATO GROSSO;-14,871167;-55,78525;Ativa;21/03/2026 20:27
00001180003494;CENTRAIS ELETRICAS BRASILEIRAS SA ELETROBRAS;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;47;Aplicação de agrotóxicos e afins - Lei nº 7.802/1989;01/07/2024;;...;CHAPADA DOS GUIMARAES;MATO GROSSO;-14,871167;-55,78525;Ativa;21/03/2026 20:27
00041327001930;CURINGA DOS PNEUS LTDA;98;Veículos Automotores - Pneus - Pilhas e Baterias;2;Comerciante de Pneus e similares;29/06/1989;11/04/2013;...;BARRA DO GARCAS;MATO GROSSO;-15,728814;-52,185058;Encerrado;21/03/2026 20:27
00041327004107;CURINGA DOS PNEUS LTDA;98;Veículos Automotores - Pneus - Pilhas e Baterias;2;Comerciante de Pneus e similares;03/12/2004;11/04/2013;...;AGUA BOA;MATO GROSSO;-14,067317;-52,135619;Encerrado;21/03/2026 20:27
00055836000193;PLAFERTIL PLANEJAMENTO AGROPECUÁRIOS LTDA;20;Uso de Recursos Naturais;17;atividade agrícola e pecuária;20/04/1995;29/06/2018;...;SORRISO;MATO GROSSO;-12,514694;-55,883306;Encerrado;21/03/2026 20:27
00055836000193;PLAFERTIL PLANEJAMENTO AGROPECUÁRIOS LTDA;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;62;Manutenção de área passível de Ato Declaratório Ambiental - Lei nº 6.938/1981: art. 17-O;29/06/2018;01/09/2021;...;SORRISO;MATO GROSSO;-12,514694;-55,883306;Encerrado;21/03/2026 20:27
00055843000195;MAGALHÃES E NUNES LTDA;18;Transporte, Terminais, Depósitos e Comércio;1;Transporte de cargas perigosas;25/08/2017;16/02/2022;Alto;PEIXOTO DE AZEVEDO;MATO GROSSO;-10,244289;-54,990239;Encerrado;21/03/2026 20:27
00055843000195;MAGALHÃES E NUNES LTDA;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;27/08/2005;16/02/2022;Alto;PEIXOTO DE AZEVEDO;MATO GROSSO;-10,244289;-54,990239;Encerrado;21/03/2026 20:27
00055843000276;MAGALHÃES & NUNES LTDA EPP;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;29/06/2018;06/10/2021;Alto;MATUPA;MATO GROSSO;-10,170139;-54,930417;Encerrado;21/03/2026 20:27
