CNPJ;Razão Social;Código da categoria;Descrição da categoria;Código da atividade;Descrição da atividade;Data de início da atividade;Data de término da atividade;Potenc. de Pol. da atividade;Município;Estado;Latitude;Longitude;Situação cadastral;Última Atualização Relatório
00000802000363;HC PNEUS S/A;18;Transporte, Terminais, Depósitos e Comércio;7;Comércio de produtos químicos e produtos perigosos;06/08/2021;;Alto;BELEM;PARA;-1,451667;-48,480278;Ativa;21/03/2026 20:27
00000802000363;HC PNEUS S/A;98;Veículos Automotores - Pneus - Pilhas e Baterias;2;Comerciante de Pneus e similares;26/02/1975;11/04/2013;...;BELEM;PARA;-1,451667;-48,480278;Ativa;21/03/2026 20:27
00011843000436;EMPRESA DE TRANSPORTES TRANSCONZ LTDA.;18;Transporte, Terminais, Depósitos e Comércio;1;Transporte de cargas perigosas;01/06/2007;10/04/2015;Alto;MARITUBA;PARA;;;Suspenso para Averiguações - dados cadastrais inconsistentes e_ou recadastramento;21/03/2026 20:27
00038166000288;BANCO CENTRAL DO BRASIL;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;3;Utilização de substâncias controladas - Protocolo de Montreal;12/11/2013;;...;BELEM;PARA;-1,448889;-48,498889;Ativa;21/03/2026 20:27
00041327002155;CURINGA DOS PNEUS LTDA;18;Transporte, Terminais, Depósitos e Comércio;7;Comércio de produtos químicos e produtos perigosos;03/05/1994;01/06/2020;Alto;MARABA;PARA;-5,39725;-49,152806;Encerrado;21/03/2026 20:27
00041327002155;CURINGA DOS PNEUS LTDA;18;Transporte, Terminais, Depósitos e Comércio;80;Depósito de produtos químicos e produtos perigosos - Lei nº 12.305/2010;29/06/2018;16/04/2019;Alto;MARABA;PARA;-5,39725;-49,152806;Encerrado;21/03/2026 20:27
00041327002155;CURINGA DOS PNEUS LTDA;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;29;troca de óleo lubrificante - Resolução Conama nº 362/2005;03/05/1994;29/06/2018;...;MARABA;PARA;-5,39725;-49,152806;Encerrado;21/03/2026 20:27
00041327002155;CURINGA DOS PNEUS LTDA;98;Veículos Automotores - Pneus - Pilhas e Baterias;2;Comerciante de Pneus e similares;03/05/1994;11/04/2013;...;MARABA;PARA;-5,39725;-49,152806;Encerrado;21/03/2026 20:27
00048785004593;INDAIÁ BRASIL ÁGUAS MINERAIS LTDA.;16;Indústria de Produtos Alimentares e Bebidas;13;Fabricação de bebidas não-alcoólicas, bem como engarrafamento e gaseificação e águas minerais;01/01/1991;;Médio;BELEM;PARA;-1,316389;-48,462556;Ativa;21/03/2026 20:27
00057240001790;CIPLAN - Cimento Planalto S A;14;Indústrias Diversas;1;Usinas de produção de concreto;01/07/2004;04/04/2013;Pequeno;BARCARENA;PARA;0,0;0,0;Encerrado;21/03/2026 20:27
00057240001951;CIPLAN - Cimento Planalto S A;14;Indústrias Diversas;1;Usinas de produção de concreto;01/10/2002;04/04/2013;Pequeno;MARITUBA;PARA;;;Encerrado;21/03/2026 20:27
00077478000209;EP ENGENHARIA COMERCIO E REPRESENTAÇÕES;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;27;Porte e uso de motosserra - Lei nº 12.651/2010: art. 69, § 1º;01/02/2010;15/04/2015;...;PARAUAPEBAS;PARA;;;Encerrado;21/03/2026 20:27
00080671007384;CARAMURU ALIMETOS S/A.;18;Transporte, Terminais, Depósitos e Comércio;3;Marinas, portos e aeroportos;03/07/2017;;Alto;ITAITUBA;PARA;-4,350519;-56,184811;Ativa;21/03/2026 20:27
00081906000773;INSTITUTO SOCIOAMBIENTAL;20;Uso de Recursos Naturais;9;Consumo de madeira, lenha ou carvão vegetal;05/07/2011;29/06/2018;...;ALTAMIRA;PARA;;;Suspenso para Averiguações - dados cadastrais inconsistentes e_ou recadastramento;21/03/2026 20:27
00081906000773;INSTITUTO SOCIOAMBIENTAL;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;48;Consumo industrial de madeira, de lenha e de carvão vegetal - Lei nº 12.651/2012: art. 34;29/06/2018;;...;ALTAMIRA;PARA;;;Suspenso para Averiguações - dados cadastrais inconsistentes e_ou recadastramento;21/03/2026 20:27
00086165001280;CONSTRUTORA ARTEC S/A.;20;Uso de Recursos Naturais;55;consumo de madeira, lenha e carvão vegetal - construção de edifícios;24/11/2014;29/06/2018;...;MARABA;PARA;-5,343444;-49,104778;Ativa;21/03/2026 20:27
00086165001280;CONSTRUTORA ARTEC S/A.;22;Obras civis -  não relacionadas no Anexo VIII da Lei nº 6.938/1981;7;Construção de obras de arte - Lei nº 6.938/1981: art. 10;01/10/2014;;...;MARABA;PARA;-5,343444;-49,104778;Ativa;21/03/2026 20:27
00086165001280;CONSTRUTORA ARTEC S/A.;22;Obras civis -  não relacionadas no Anexo VIII da Lei nº 6.938/1981;8;Outras obras de infraestrutura - Lei nº 6.938/1981: art. 10;01/10/2014;;...;MARABA;PARA;-5,343444;-49,104778;Ativa;21/03/2026 20:27
00091652000502;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS-CPRM;1;Extração e Tratamento de Minerais;1;Pesquisa mineral com guia de utilização;01/01/2004;24/03/2004;Alto;BELEM;PARA;-1,450028;-48,427722;Ativa;21/03/2026 20:27
00091652000502;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS-CPRM;17;Serviços de Utilidade;2;tratamento e destinação de resíduos industriais líquidos e sólidos;01/01/2004;24/03/2004;Médio;BELEM;PARA;-1,450028;-48,427722;Ativa;21/03/2026 20:27
00091652000502;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS-CPRM;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;2;reparação de maquinas, aparelhos e equipamentos;01/01/2004;24/03/2004;...;BELEM;PARA;-1,450028;-48,427722;Ativa;21/03/2026 20:27
00091652000502;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS-CPRM;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;27;Porte e uso de motosserra - Lei nº 12.651/2010: art. 69, § 1º;01/01/2004;;...;BELEM;PARA;-1,450028;-48,427722;Ativa;21/03/2026 20:27
00104175000572;INSTITUTO DE CONSERVAÇÃO AMBIENTAL;20;Uso de Recursos Naturais;9;Consumo de madeira, lenha ou carvão vegetal;01/10/2014;29/06/2018;...;BELEM;PARA;-1,461022;-48,477172;Ativa;21/03/2026 20:27
00104175000572;INSTITUTO DE CONSERVAÇÃO AMBIENTAL;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;48;Consumo industrial de madeira, de lenha e de carvão vegetal - Lei nº 12.651/2012: art. 34;29/06/2018;;...;BELEM;PARA;-1,461022;-48,477172;Ativa;21/03/2026 20:27
