CNPJ;Razão Social;Código da categoria;Descrição da categoria;Código da atividade;Descrição da atividade;Data de início da atividade;Data de término da atividade;Potenc. de Pol. da atividade;Município;Estado;Latitude;Longitude;Situação cadastral;Última Atualização Relatório
00000802000797;HC PNEUS S/A.;98;Veículos Automotores - Pneus - Pilhas e Baterias;2;Comerciante de Pneus e similares;06/11/1986;11/04/2013;...;JOAO PESSOA;PARAIBA;-7,192778;-34,864722;Encerrado;21/03/2026 20:27
00043711000810;DEPARTAMENTO NACIONAL DE OBRAS;22;Obras civis -  não relacionadas no Anexo VIII da Lei nº 6.938/1981;8;Outras obras de infraestrutura - Lei nº 6.938/1981: art. 10;05/04/2021;;...;JOAO PESSOA;PARAIBA;-7,114167;-34,861111;Ativa;21/03/2026 20:27
00048785003279;INDAIA BRASIL AGUAS MINERAIS LTDA;16;Indústria de Produtos Alimentares e Bebidas;13;Fabricação de bebidas não-alcoólicas, bem como engarrafamento e gaseificação e águas minerais;03/01/2003;;Médio;SANTA RITA;PARAIBA;-7,2245;-35,031806;Ativa;21/03/2026 20:27
00063960056740;WMB SUPERMERCADOS DO BRASIL LTDA;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;69;"Comercialização de recursos pesqueiros - Lei nº 11.959/2009: art. 3º, X; art. 31";04/04/2024;;...;JOAO PESSOA;PARAIBA;-7,091642;-34,846406;Ativa;21/03/2026 20:27
00108786014034;NET SERVICOS DE COMUNICACAO SA;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;3;Utilização de substâncias controladas - Protocolo de Montreal;17/04/2012;31/12/2014;...;JOAO PESSOA;PARAIBA;;;Encerrado;21/03/2026 20:27
00125632000181;FCK ENGENHARIA LTDA;20;Uso de Recursos Naturais;9;Consumo de madeira, lenha ou carvão vegetal;13/12/2007;29/06/2018;...;JOAO PESSOA;PARAIBA;-7,068186;-34,7937;Ativa;21/03/2026 20:27
00125632000181;FCK ENGENHARIA LTDA;20;Uso de Recursos Naturais;55;consumo de madeira, lenha e carvão vegetal - construção de edifícios;06/06/2014;29/06/2018;...;JOAO PESSOA;PARAIBA;-7,068186;-34,7937;Ativa;21/03/2026 20:27
00125632000181;FCK ENGENHARIA LTDA;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;48;Consumo industrial de madeira, de lenha e de carvão vegetal - Lei nº 12.651/2012: art. 34;29/06/2018;;...;JOAO PESSOA;PARAIBA;-7,068186;-34,7937;Ativa;21/03/2026 20:27
00125632000181;FCK ENGENHARIA LTDA;22;Obras civis -  não relacionadas no Anexo VIII da Lei nº 6.938/1981;8;Outras obras de infraestrutura - Lei nº 6.938/1981: art. 10;12/12/2007;;...;JOAO PESSOA;PARAIBA;-7,068186;-34,7937;Ativa;21/03/2026 20:27
00125638000159;UNIAO TEXTIL LTDA;11;Indústria Têxtil, de Vestuário, Calçados e Artefatos de Tecidos;2;Fabricação e acabamento de fios e tecidos;03/11/2005;;Médio;POMBAL;PARAIBA;-6,785694;-37,7975;Ativa;21/03/2026 20:27
00125638000159;UNIAO TEXTIL LTDA;20;Uso de Recursos Naturais;9;Consumo de madeira, lenha ou carvão vegetal;01/06/2018;29/06/2018;...;POMBAL;PARAIBA;-6,785694;-37,7975;Ativa;21/03/2026 20:27
00125638000159;UNIAO TEXTIL LTDA;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;48;Consumo industrial de madeira, de lenha e de carvão vegetal - Lei nº 12.651/2012: art. 34;29/06/2018;;...;POMBAL;PARAIBA;-6,785694;-37,7975;Ativa;21/03/2026 20:27
00142702000100;NERINEUMA VIEIRA DE SOUSA GUEDES EPP;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;01/07/2003;;Alto;BREJO DOS SANTOS;PARAIBA;-6,379447;-37,8273;Ativa;21/03/2026 20:27
00144962000114;JOSINALDO LUIZ DE SOUZA;20;Uso de Recursos Naturais;2;Exploração econômica da madeira ou lenha e subprodutos florestais (floresta nativa);01/01/2003;12/05/2005;Médio;PATOS;PARAIBA;-7,022528;-37,274553;Encerrado;21/03/2026 20:27
00144962000114;JOSINALDO LUIZ DE SOUZA;20;Uso de Recursos Naturais;9;Consumo de madeira, lenha ou carvão vegetal;01/01/2004;13/01/2015;...;PATOS;PARAIBA;-7,022528;-37,274553;Encerrado;21/03/2026 20:27
00144962000114;JOSINALDO LUIZ DE SOUZA;20;Uso de Recursos Naturais;73;consumo de madeira, lenha e carvão vegetal - panificadora;15/08/1994;13/01/2015;...;PATOS;PARAIBA;-7,022528;-37,274553;Encerrado;21/03/2026 20:27
00145915000780;ROTA PREMIUM VEÍCULOS LTDA;18;Transporte, Terminais, Depósitos e Comércio;13;Comércio de produtos químicos e produtos perigosos - Resolução CONAMA nº 362/2005;07/07/2011;07/07/2016;Alto;CABEDELO;PARAIBA;-6,991858;-34,823914;Encerrado;21/03/2026 20:27
00145915000780;ROTA PREMIUM VEÍCULOS LTDA;18;Transporte, Terminais, Depósitos e Comércio;80;Depósito de produtos químicos e produtos perigosos - Lei nº 12.305/2010;29/06/2018;15/08/2018;Alto;CABEDELO;PARAIBA;-6,991858;-34,823914;Encerrado;21/03/2026 20:27
00145915000780;ROTA PREMIUM VEÍCULOS LTDA;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;29;troca de óleo lubrificante - Resolução Conama nº 362/2005;07/07/2011;29/06/2018;...;CABEDELO;PARAIBA;-6,991858;-34,823914;Encerrado;21/03/2026 20:27
00148082000116;J P M MARC LTDA;7;Indústria de Madeira;4;Fabricação de estruturas de madeira e de móveis;01/01/2001;26/10/2021;Médio;JOAO PESSOA;PARAIBA;;;Encerrado;21/03/2026 20:27
00149703000186;DIAGSON DIAGNÓSTICO EM ULTRA SONOGRAFIA E MEDICINA FETAL LTDA;23;Gerenciamento de Projetos sujeitos a licenciamento ambiental federal;15;outras atividades sujeitas a licenciamento não especificadas anteriormente;22/08/2011;29/06/2018;...;JOAO PESSOA;PARAIBA;-7,121083;-34,87005;Encerrado;21/03/2026 20:27
00156631000102;CHARLES DIKSON ALVES DE BRITO;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;3;Utilização de substâncias controladas - Protocolo de Montreal;27/05/2013;;...;PATOS;PARAIBA;-7,016667;-37,265625;Ativa;21/03/2026 20:27
00156631000447;CHARLES DIKSON ALVES DE BRITO;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;3;Utilização de substâncias controladas - Protocolo de Montreal;09/05/2013;04/11/2015;...;PATOS;PARAIBA;-7,106333;-37,287583;Encerrado;21/03/2026 20:27
00171428000105;SANTA MARIA TRANSPORTES E FRETAMENTOS LTDA;18;Transporte, Terminais, Depósitos e Comércio;4;Terminais de minério, petróleo e derivados e produtos químicos;30/08/1994;;Alto;JOAO PESSOA;PARAIBA;-7,172092;-34,897169;Ativa;21/03/2026 20:27
00171428000105;SANTA MARIA TRANSPORTES E FRETAMENTOS LTDA;18;Transporte, Terminais, Depósitos e Comércio;21;operação de rodovia;30/08/1994;29/06/2018;...;JOAO PESSOA;PARAIBA;-7,172092;-34,897169;Ativa;21/03/2026 20:27
00171428000105;SANTA MARIA TRANSPORTES E FRETAMENTOS LTDA;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;30;Operação de rodovia - Lei nº 6.938/1981: art. 10;29/06/2018;;...;JOAO PESSOA;PARAIBA;-7,172092;-34,897169;Ativa;21/03/2026 20:27
00180316000102;FRANCISCO ROMULO FORMIGA MEDEIROS;20;Uso de Recursos Naturais;2;Exploração econômica da madeira ou lenha e subprodutos florestais (floresta nativa);19/09/2025;;Médio;POMBAL;PARAIBA;-6,768194;-37,8;Ativa;21/03/2026 20:27
00183959000100;POLIPAC INDUSTRIAL DE PLASTICOS LTDA;12;Indústria de Produtos de Matéria Plástica.;2;Fabricação de artefatos de material plástico;01/01/2001;16/12/2015;Pequeno;JOAO PESSOA;PARAIBA;-7,1752;-34,898372;Encerrado;21/03/2026 20:27
00188092000185;JULIO CESAR FIRMINO ALVES;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;01/01/2001;06/02/2025;Alto;AGUA BRANCA;PARAIBA;-7,513194;-37,639647;Encerrado;21/03/2026 20:27
00193832000171;CLAUDIO JANE ROSADO DE OLIVEIRA - ME;18;Transporte, Terminais, Depósitos e Comércio;7;Comércio de produtos químicos e produtos perigosos;15/09/1994;30/12/2021;Alto;JOAO PESSOA;PARAIBA;-7,960833;-34,578889;Cadastramento indevido;21/03/2026 20:27
00198693000250;LUZIA DEAQUINO FERREIRA;98;Veículos Automotores - Pneus - Pilhas e Baterias;2;Comerciante de Pneus e similares;09/12/2004;11/04/2013;...;SOUSA;PARAIBA;;;Encerrado;21/03/2026 20:27
00199558000148;SÔNIA NÓBREGA DE MEDEIROS;20;Uso de Recursos Naturais;9;Consumo de madeira, lenha ou carvão vegetal;01/01/2005;29/06/2018;...;JUNCO DO SERIDO;PARAIBA;;;Encerrado;21/03/2026 20:27
00199558000148;SÔNIA NÓBREGA DE MEDEIROS;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;48;Consumo industrial de madeira, de lenha e de carvão vegetal - Lei nº 12.651/2012: art. 34;29/06/2018;29/11/2021;...;JUNCO DO SERIDO;PARAIBA;;;Encerrado;21/03/2026 20:27
