CNPJ;Razão Social;Código da categoria;Descrição da categoria;Código da atividade;Descrição da atividade;Data de início da atividade;Data de término da atividade;Potenc. de Pol. da atividade;Município;Estado;Latitude;Longitude;Situação cadastral;Última Atualização Relatório
00000802001769;HC PNEUS S/A;98;Veículos Automotores - Pneus - Pilhas e Baterias;2;Comerciante de Pneus e similares;31/10/1994;11/04/2013;...;RECIFE;PERNAMBUCO;-8,063333;-34,9075;Encerrado;21/03/2026 20:27
00003516000270;MC BAUCHEMIE BRASIL INDUSTRIA E COMERCIO LTDA;2;Indústria de Produtos Minerais Não Metálicos;2;Fabricação e elaboração de produtos minerais não metálicos tais como produção de material cerâmico, cimento, gesso, amianto, vidro e similares;01/08/2017;;Médio;VITORIA DE SANTO ANTAO;PERNAMBUCO;-8,118056;-35,291389;Ativa;21/03/2026 20:27
00003516000270;MC BAUCHEMIE BRASIL INDUSTRIA E COMERCIO LTDA;15;Indústria Química;1;Produção de substâncias e fabricação de produtos químicos;01/08/2017;;Alto;VITORIA DE SANTO ANTAO;PERNAMBUCO;-8,118056;-35,291389;Ativa;21/03/2026 20:27
00003516000270;MC BAUCHEMIE BRASIL INDUSTRIA E COMERCIO LTDA;18;Transporte, Terminais, Depósitos e Comércio;7;Comércio de produtos químicos e produtos perigosos;01/08/2017;;Alto;VITORIA DE SANTO ANTAO;PERNAMBUCO;-8,118056;-35,291389;Ativa;21/03/2026 20:27
00028986001694;ELAVADORES ATLAS SHINDLER S/A;4;Indústria Mecânica;1;Fabricação de máquinas, aparelhos, peças, utensílios e acessórios com e sem tratamento térmico ou de superfície;01/03/2006;;Médio;RECIFE;PERNAMBUCO;-8,055556;-34,894667;Ativa;21/03/2026 20:27
00028986001694;ELAVADORES ATLAS SHINDLER S/A;18;Transporte, Terminais, Depósitos e Comércio;81;Comércio de produtos químicos e produtos perigosos - Resolução CONAMA nº 401/2008;01/03/2006;;Alto;RECIFE;PERNAMBUCO;-8,055556;-34,894667;Ativa;21/03/2026 20:27
00028986001694;ELAVADORES ATLAS SHINDLER S/A;23;Gerenciamento de Projetos sujeitos a licenciamento ambiental federal;15;outras atividades sujeitas a licenciamento não especificadas anteriormente;03/11/2005;29/06/2018;...;RECIFE;PERNAMBUCO;-8,055556;-34,894667;Ativa;21/03/2026 20:27
00038166000792;BANCO CENTRAL DO BRASIL;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;1;Reparação de aparelhos de refrigeração;03/08/2015;16/02/2018;...;RECIFE;PERNAMBUCO;-8,053728;-34,876289;Encerrado;21/03/2026 20:27
00048785002116;INDAIA BRASIL AGUAS MINERAIS LTDA;16;Indústria de Produtos Alimentares e Bebidas;13;Fabricação de bebidas não-alcoólicas, bem como engarrafamento e gaseificação e águas minerais;10/03/1980;;Médio;PAUDALHO;PERNAMBUCO;-7,937194;-35,039694;Ativa;21/03/2026 20:27
00063960006999;WMB SUPERMERCADOS DO BRASIL LTDA;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;3;Utilização de substâncias controladas - Protocolo de Montreal;30/05/2007;19/11/2019;...;JABOATAO DOS GUARARAPES;PERNAMBUCO;-8,112778;-35,015;Ativa;21/03/2026 20:27
