CNPJ;Razão Social;Código da categoria;Descrição da categoria;Código da atividade;Descrição da atividade;Data de início da atividade;Data de término da atividade;Potenc. de Pol. da atividade;Município;Estado;Latitude;Longitude;Situação cadastral;Última Atualização Relatório
00041327002821;CURINGA DOS PNEUS LTDA;18;Transporte, Terminais, Depósitos e Comércio;7;Comércio de produtos químicos e produtos perigosos;06/07/2001;01/06/2020;Alto;FLORIANO;PIAUI;-6,766944;-43,0225;Encerrado;21/03/2026 20:27
00041327002821;CURINGA DOS PNEUS LTDA;18;Transporte, Terminais, Depósitos e Comércio;80;Depósito de produtos químicos e produtos perigosos - Lei nº 12.305/2010;29/06/2018;17/04/2019;Alto;FLORIANO;PIAUI;-6,766944;-43,0225;Encerrado;21/03/2026 20:27
00041327002821;CURINGA DOS PNEUS LTDA;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;29;troca de óleo lubrificante - Resolução Conama nº 362/2005;07/06/2001;29/06/2018;...;FLORIANO;PIAUI;-6,766944;-43,0225;Encerrado;21/03/2026 20:27
00041327002821;CURINGA DOS PNEUS LTDA;98;Veículos Automotores - Pneus - Pilhas e Baterias;2;Comerciante de Pneus e similares;07/06/2001;11/04/2013;...;FLORIANO;PIAUI;-6,766944;-43,0225;Encerrado;21/03/2026 20:27
00041327002902;CURINGA DOS PNEUS LTDA;18;Transporte, Terminais, Depósitos e Comércio;80;Depósito de produtos químicos e produtos perigosos - Lei nº 12.305/2010;29/06/2018;02/04/2019;Alto;PICOS;PIAUI;-7,076944;-41,466944;Encerrado;21/03/2026 20:27
00041327002902;CURINGA DOS PNEUS LTDA;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;29;troca de óleo lubrificante - Resolução Conama nº 362/2005;16/10/2001;29/06/2018;...;PICOS;PIAUI;-7,076944;-41,466944;Encerrado;21/03/2026 20:27
00041327002902;CURINGA DOS PNEUS LTDA;98;Veículos Automotores - Pneus - Pilhas e Baterias;2;Comerciante de Pneus e similares;16/10/2001;11/04/2013;...;PICOS;PIAUI;-7,076944;-41,466944;Encerrado;21/03/2026 20:27
00055915000102;CONTE FRUTICULTURA AGROPECUARIA LTDA;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;62;Manutenção de área passível de Ato Declaratório Ambiental - Lei nº 6.938/1981: art. 17-O;06/08/2020;01/09/2021;...;UNIAO;PIAUI;-4,687167;-42,799683;Encerrado;21/03/2026 20:27
00058394000139;ACCB - ASSOCIAÇÃO COMUNITARIA DE CURRAL DE BAIXO;2;Indústria de Produtos Minerais Não Metálicos;2;Fabricação e elaboração de produtos minerais não metálicos tais como produção de material cerâmico, cimento, gesso, amianto, vidro e similares;01/01/2001;;Médio;JACOBINA DO PIAUI;PIAUI;;;Suspenso para Averiguações - dados cadastrais inconsistentes e_ou recadastramento;21/03/2026 20:27
00058394000139;ACCB - ASSOCIAÇÃO COMUNITARIA DE CURRAL DE BAIXO;20;Uso de Recursos Naturais;2;Exploração econômica da madeira ou lenha e subprodutos florestais (floresta nativa);01/01/2001;;Médio;JACOBINA DO PIAUI;PIAUI;;;Suspenso para Averiguações - dados cadastrais inconsistentes e_ou recadastramento;21/03/2026 20:27
00063960056902;WMB SUPERMERCADOS DO BRASIL LTDA;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;69;"Comercialização de recursos pesqueiros - Lei nº 11.959/2009: art. 3º, X; art. 31";19/10/2022;24/04/2025;...;TERESINA;PIAUI;-5,128417;-42,788056;Encerrado;21/03/2026 20:27
00079076000154;IND BATALHENSE DE BISCOITO LTDA - PETAS TIA SULA;16;Indústria de Produtos Alimentares e Bebidas;1;Beneficiamento, moagem, torrefação e fabricação de produtos alimentares;01/01/2001;03/03/2022;Médio;BATALHA;PIAUI;;;Encerrado;21/03/2026 20:27
00079076000154;IND BATALHENSE DE BISCOITO LTDA - PETAS TIA SULA;20;Uso de Recursos Naturais;2;Exploração econômica da madeira ou lenha e subprodutos florestais (floresta nativa);01/01/2001;03/03/2022;Médio;BATALHA;PIAUI;;;Encerrado;21/03/2026 20:27
00080414000178;NOCASTRO LTDA;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;29/06/2018;;Alto;VALENCA DO PIAUI;PIAUI;-6,413556;-41,748028;Ativa;21/03/2026 20:27
00080414000178;NOCASTRO LTDA;18;Transporte, Terminais, Depósitos e Comércio;54;comércio de combustíveis e derivados de petróleo - Gás GLP;01/06/1994;29/06/2018;Alto;VALENCA DO PIAUI;PIAUI;-6,413556;-41,748028;Ativa;21/03/2026 20:27
00089887000217;MARIA LUZIA COELHO DIAS;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;01/01/2003;;Alto;SAO JOAO DO PIAUI;PIAUI;-8,341944;-42,236667;Ativa;21/03/2026 20:27
00089887000489;MARIA LUZIA COELHO DIAS ME;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;01/01/2011;14/02/2018;Alto;SAO PEDRO DO PIAUI;PIAUI;-7,690556;-42,712778;Encerrado;21/03/2026 20:27
00089887000560;MARIA LUZIA COELHO DIAS-POSTO C.DIAS;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;01/01/2004;;Alto;SAO JOAO DO PIAUI;PIAUI;0,0;0,0;Suspenso para Averiguações - dados cadastrais inconsistentes e_ou recadastramento;21/03/2026 20:27
00091211000187;ROGERIO DE SOUSA PAZ ME;16;Indústria de Produtos Alimentares e Bebidas;5;Beneficiamento e industrialização de leite e derivados;01/01/2001;;Médio;TERESINA;PIAUI;;;Suspenso para Averiguações - dados cadastrais inconsistentes e_ou recadastramento;21/03/2026 20:27
00091211000187;ROGERIO DE SOUSA PAZ ME;16;Indústria de Produtos Alimentares e Bebidas;7;Refino e preparação de óleo e gorduras vegetais;01/10/2002;24/10/2002;Médio;TERESINA;PIAUI;;;Suspenso para Averiguações - dados cadastrais inconsistentes e_ou recadastramento;21/03/2026 20:27
00099683000186;POSTO SÃO JOSÉ LTDA;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;07/02/1994;;Alto;MIGUEL ALVES;PIAUI;-4,171083;-42,9125;Ativa;21/03/2026 20:27
00099683000186;POSTO SÃO JOSÉ LTDA;18;Transporte, Terminais, Depósitos e Comércio;54;comércio de combustíveis e derivados de petróleo - Gás GLP;07/02/1994;04/08/2014;Alto;MIGUEL ALVES;PIAUI;-4,171083;-42,9125;Ativa;21/03/2026 20:27
00100823000199;N & P CONSTRUÇOES LTDA-ME;20;Uso de Recursos Naturais;2;Exploração econômica da madeira ou lenha e subprodutos florestais (floresta nativa);01/07/1994;;Médio;LUIS CORREIA;PIAUI;-2,888056;-41,639694;Ativa;21/03/2026 20:27
