CNPJ;Razão Social;Código da categoria;Descrição da categoria;Código da atividade;Descrição da atividade;Data de início da atividade;Data de término da atividade;Potenc. de Pol. da atividade;Município;Estado;Latitude;Longitude;Situação cadastral;Última Atualização Relatório
00000000583430;BANCO DO BRASIL S/A;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;3;Utilização de substâncias controladas - Protocolo de Montreal;08/12/2017;;...;RIO DE JANEIRO;RIO DE JANEIRO;-22,926197;-43,248697;Ativa;21/03/2026 20:28
00001180000126;CENTRAIS ELETRICAS BRASILEIRAS S.A - ELETROBRAS;17;Serviços de Utilidade;1;Produção de energia termoelétrica;01/07/2024;;Médio;RIO DE JANEIRO;RIO DE JANEIRO;-22,909417;-43,174167;Ativa;21/03/2026 20:28
00001180000126;CENTRAIS ELETRICAS BRASILEIRAS S.A - ELETROBRAS;17;Serviços de Utilidade;67;Recuperação de áreas degradadas;01/07/2024;;Médio;RIO DE JANEIRO;RIO DE JANEIRO;-22,909417;-43,174167;Ativa;21/03/2026 20:28
00001180000126;CENTRAIS ELETRICAS BRASILEIRAS S.A - ELETROBRAS;20;Uso de Recursos Naturais;2;Exploração econômica da madeira ou lenha e subprodutos florestais (floresta nativa);01/07/2024;;Médio;RIO DE JANEIRO;RIO DE JANEIRO;-22,909417;-43,174167;Ativa;21/03/2026 20:28
00001180000126;CENTRAIS ELETRICAS BRASILEIRAS S.A - ELETROBRAS;20;Uso de Recursos Naturais;54;Exploração de recursos aquáticos vivos - Lei nº 11.959/2009: art. 2º, II;01/07/2024;;Médio;RIO DE JANEIRO;RIO DE JANEIRO;-22,909417;-43,174167;Ativa;21/03/2026 20:28
00001180000126;CENTRAIS ELETRICAS BRASILEIRAS S.A - ELETROBRAS;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;3;Utilização de substâncias controladas - Protocolo de Montreal;01/07/2024;;...;RIO DE JANEIRO;RIO DE JANEIRO;-22,909417;-43,174167;Ativa;21/03/2026 20:28
00001180000126;CENTRAIS ELETRICAS BRASILEIRAS S.A - ELETROBRAS;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;27;Porte e uso de motosserra - Lei nº 12.651/2010: art. 69, § 1º;01/07/2024;;...;RIO DE JANEIRO;RIO DE JANEIRO;-22,909417;-43,174167;Ativa;21/03/2026 20:28
00001180000126;CENTRAIS ELETRICAS BRASILEIRAS S.A - ELETROBRAS;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;34;Transmissão de energia elétrica - Lei nº 6.938/1981: art. 10;01/07/2024;;...;RIO DE JANEIRO;RIO DE JANEIRO;-22,909417;-43,174167;Ativa;21/03/2026 20:28
00001180000126;CENTRAIS ELETRICAS BRASILEIRAS S.A - ELETROBRAS;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;35;Geração de energia hidrelétrica - Lei nº 6.938/1981: art. 10;01/07/2024;;...;RIO DE JANEIRO;RIO DE JANEIRO;-22,909417;-43,174167;Ativa;21/03/2026 20:28
00001180000126;CENTRAIS ELETRICAS BRASILEIRAS S.A - ELETROBRAS;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;36;Geração de energia eólica e de outras fontes alternativas - Lei nº 6.938/1981: art. 10;01/07/2024;;...;RIO DE JANEIRO;RIO DE JANEIRO;-22,909417;-43,174167;Ativa;21/03/2026 20:28
00001180000126;CENTRAIS ELETRICAS BRASILEIRAS S.A - ELETROBRAS;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;47;Aplicação de agrotóxicos e afins - Lei nº 7.802/1989;01/10/2025;;...;RIO DE JANEIRO;RIO DE JANEIRO;-22,909417;-43,174167;Ativa;21/03/2026 20:28
00001180000126;CENTRAIS ELETRICAS BRASILEIRAS S.A - ELETROBRAS;23;Gerenciamento de Projetos sujeitos a licenciamento ambiental federal;1;usina hidroelétrica;19/08/1966;29/06/2018;...;RIO DE JANEIRO;RIO DE JANEIRO;-22,909417;-43,174167;Ativa;21/03/2026 20:28
00001180000126;CENTRAIS ELETRICAS BRASILEIRAS S.A - ELETROBRAS;23;Gerenciamento de Projetos sujeitos a licenciamento ambiental federal;5;Linha de Transmissão;19/08/1966;29/06/2018;...;RIO DE JANEIRO;RIO DE JANEIRO;-22,909417;-43,174167;Ativa;21/03/2026 20:28
00001180000207;CENTRAIS ELÉTRICAS BRASILEIRAS S.A.;17;Serviços de Utilidade;10;geração de energia hidrelétrica;25/04/1961;30/10/2008;...;RIO DE JANEIRO;RIO DE JANEIRO;-22,901667;-43,178889;Encerrado;21/03/2026 20:28
00001180000207;CENTRAIS ELÉTRICAS BRASILEIRAS S.A.;23;Gerenciamento de Projetos sujeitos a licenciamento ambiental federal;1;usina hidroelétrica;25/01/2006;29/06/2018;...;RIO DE JANEIRO;RIO DE JANEIRO;-22,901667;-43,178889;Encerrado;21/03/2026 20:28
00001180000207;CENTRAIS ELÉTRICAS BRASILEIRAS S.A.;23;Gerenciamento de Projetos sujeitos a licenciamento ambiental federal;15;outras atividades sujeitas a licenciamento não especificadas anteriormente;25/01/2006;29/06/2018;...;RIO DE JANEIRO;RIO DE JANEIRO;-22,901667;-43,178889;Encerrado;21/03/2026 20:28
