CNPJ;Razão Social;Código da categoria;Descrição da categoria;Código da atividade;Descrição da atividade;Data de início da atividade;Data de término da atividade;Potenc. de Pol. da atividade;Município;Estado;Latitude;Longitude;Situação cadastral;Última Atualização Relatório
00000802000878;HC PNEUS S/A;98;Veículos Automotores - Pneus - Pilhas e Baterias;2;Comerciante de Pneus e similares;06/11/1986;11/04/2013;...;NATAL;RIO GRANDE DO NORTE;-5,802222;-35,204444;Encerrado;21/03/2026 20:28
00043711000909;DEPARTAMENTO NACIONAL DE OBRAS CONTRA AS SECAS;22;Obras civis -  não relacionadas no Anexo VIII da Lei nº 6.938/1981;2;Construção de barragens e diques - Lei nº 6.938/1981: art. 10;28/07/1998;;...;NATAL;RIO GRANDE DO NORTE;;;Suspenso para Averiguações - dados cadastrais inconsistentes e_ou recadastramento;21/03/2026 20:28
00043711000909;DEPARTAMENTO NACIONAL DE OBRAS CONTRA AS SECAS;22;Obras civis -  não relacionadas no Anexo VIII da Lei nº 6.938/1981;9;sondagem e perfuração de poços tubulares (artesianos);28/07/1998;29/06/2018;...;NATAL;RIO GRANDE DO NORTE;;;Suspenso para Averiguações - dados cadastrais inconsistentes e_ou recadastramento;21/03/2026 20:28
00063960007456;WAL MART BRASIL LTDA;20;Uso de Recursos Naturais;2;Exploração econômica da madeira ou lenha e subprodutos florestais (floresta nativa);06/12/2007;08/01/2009;Médio;NATAL;RIO GRANDE DO NORTE;-5,795;-35,208889;Ativa;21/03/2026 20:28
00063960007456;WAL MART BRASIL LTDA;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;3;Utilização de substâncias controladas - Protocolo de Montreal;06/12/2007;28/11/2019;...;NATAL;RIO GRANDE DO NORTE;-5,795;-35,208889;Ativa;21/03/2026 20:28
00063960007456;WAL MART BRASIL LTDA;98;Veículos Automotores - Pneus - Pilhas e Baterias;2;Comerciante de Pneus e similares;06/12/2007;08/01/2009;...;NATAL;RIO GRANDE DO NORTE;-5,795;-35,208889;Ativa;21/03/2026 20:28
00109427000203;FAN EMPREENDIMENTOS E CONSTRUCOES LTDA;7;Indústria de Madeira;4;Fabricação de estruturas de madeira e de móveis;03/08/2009;22/11/2010;Médio;MOSSORO;RIO GRANDE DO NORTE;0,0;0,0;Suspenso para Averiguações - dados cadastrais inconsistentes e_ou recadastramento;21/03/2026 20:28
00109427000203;FAN EMPREENDIMENTOS E CONSTRUCOES LTDA;20;Uso de Recursos Naturais;40;Consumidor de Madeira e de Subprodutos Florestais;01/11/2007;01/08/2021;...;MOSSORO;RIO GRANDE DO NORTE;0,0;0,0;Suspenso para Averiguações - dados cadastrais inconsistentes e_ou recadastramento;21/03/2026 20:28
00109427000203;FAN EMPREENDIMENTOS E CONSTRUCOES LTDA;22;Obras civis -  não relacionadas no Anexo VIII da Lei nº 6.938/1981;8;Outras obras de infraestrutura - Lei nº 6.938/1981: art. 10;30/08/2007;;...;MOSSORO;RIO GRANDE DO NORTE;0,0;0,0;Suspenso para Averiguações - dados cadastrais inconsistentes e_ou recadastramento;21/03/2026 20:28
00235798000312;TERRA FERTIL COM E REPRES LTDA;18;Transporte, Terminais, Depósitos e Comércio;5;Depósitos de produtos químicos e produtos perigosos;01/01/2006;20/12/2013;Alto;MOSSORO;RIO GRANDE DO NORTE;-5,175533;-37,363783;Ativa;21/03/2026 20:28
00235798000312;TERRA FERTIL COM E REPRES LTDA;18;Transporte, Terminais, Depósitos e Comércio;7;Comércio de produtos químicos e produtos perigosos;01/01/2006;20/12/2013;Alto;MOSSORO;RIO GRANDE DO NORTE;-5,175533;-37,363783;Ativa;21/03/2026 20:28
00235798000312;TERRA FERTIL COM E REPRES LTDA;18;Transporte, Terminais, Depósitos e Comércio;18;comércio de produtos químicos e produtos perigosos - fertilizantes;01/01/2006;29/06/2018;Alto;MOSSORO;RIO GRANDE DO NORTE;-5,175533;-37,363783;Ativa;21/03/2026 20:28
00235798000312;TERRA FERTIL COM E REPRES LTDA;18;Transporte, Terminais, Depósitos e Comércio;66;Comércio de produtos químicos e produtos perigosos - Lei nº 7.802/1989;01/10/2006;;Alto;MOSSORO;RIO GRANDE DO NORTE;-5,175533;-37,363783;Ativa;21/03/2026 20:28
00235798000312;TERRA FERTIL COM E REPRES LTDA;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;73;Comercialização de motosserra - Lei nº 12.651/2012: art. 69;07/03/2019;;...;MOSSORO;RIO GRANDE DO NORTE;-5,175533;-37,363783;Ativa;21/03/2026 20:28
00235798000746;TERRA FERTIL COM. E REPRES. LTDA;18;Transporte, Terminais, Depósitos e Comércio;66;Comércio de produtos químicos e produtos perigosos - Lei nº 7.802/1989;17/05/2022;;Alto;BARAUNA;RIO GRANDE DO NORTE;-5,083889;-37,610278;Ativa;21/03/2026 20:28
00235798000746;TERRA FERTIL COM. E REPRES. LTDA;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;73;Comercialização de motosserra - Lei nº 12.651/2012: art. 69;17/05/2022;;...;BARAUNA;RIO GRANDE DO NORTE;-5,083889;-37,610278;Ativa;21/03/2026 20:28
00235798001394;TERRA FÉRTIL COMÉRCIO E REPRESENTAÇÃO LTDA;18;Transporte, Terminais, Depósitos e Comércio;66;Comércio de produtos químicos e produtos perigosos - Lei nº 7.802/1989;04/08/2025;;Alto;CEARA-MIRIM;RIO GRANDE DO NORTE;-5,655411;-35,417906;Ativa;21/03/2026 20:28
00235798001394;TERRA FÉRTIL COMÉRCIO E REPRESENTAÇÃO LTDA;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;73;Comercialização de motosserra - Lei nº 12.651/2012: art. 69;04/08/2025;;...;CEARA-MIRIM;RIO GRANDE DO NORTE;-5,655411;-35,417906;Ativa;21/03/2026 20:28
00271847000968;IMETAME ENERGIA LTDA;1;Extração e Tratamento de Minerais;5;Perfuração de poços e produção de petróleo e gás natural;19/02/2018;28/03/2023;Alto;MOSSORO;RIO GRANDE DO NORTE;-5,234167;-37,31925;Ativa;21/03/2026 20:28
00271847000968;IMETAME ENERGIA LTDA;18;Transporte, Terminais, Depósitos e Comércio;14;Transporte de cargas perigosas - Resolução CONAMA nº 362/2005;17/07/2019;28/03/2023;Alto;MOSSORO;RIO GRANDE DO NORTE;-5,234167;-37,31925;Ativa;21/03/2026 20:28
00271847000968;IMETAME ENERGIA LTDA;20;Uso de Recursos Naturais;2;Exploração econômica da madeira ou lenha e subprodutos florestais (floresta nativa);29/06/2018;28/03/2023;Médio;MOSSORO;RIO GRANDE DO NORTE;-5,234167;-37,31925;Ativa;21/03/2026 20:28
00271847000968;IMETAME ENERGIA LTDA;20;Uso de Recursos Naturais;63;Exploração econômica da madeira ou lenha e subprodutos florestais - Instrução Normativa IBAMA nº 21/2014: 7º, II;18/08/2021;28/03/2023;Médio;MOSSORO;RIO GRANDE DO NORTE;-5,234167;-37,31925;Ativa;21/03/2026 20:28
00271847000968;IMETAME ENERGIA LTDA;20;Uso de Recursos Naturais;67;exploração econômica da madeira ou lenha e subprodutos florestais - extração de madeira em florestas nativas;29/06/2018;29/06/2018;Médio;MOSSORO;RIO GRANDE DO NORTE;-5,234167;-37,31925;Ativa;21/03/2026 20:28
00352294002830;EMP. BRAS. DE INFRA-ESTRUTURA AEROPORTUÁRIA;17;Serviços de Utilidade;7;interceptores, emissários, estação elevatória e tratamento de esgoto sanitário;01/11/2006;01/09/2014;...;PARNAMIRIM;RIO GRANDE DO NORTE;-5,908333;-35,249167;Encerrado;21/03/2026 20:28
