CNPJ;Razão Social;Código da categoria;Descrição da categoria;Código da atividade;Descrição da atividade;Data de início da atividade;Data de término da atividade;Potenc. de Pol. da atividade;Município;Estado;Latitude;Longitude;Situação cadastral;Última Atualização Relatório
00024923000264;BOTTOSSI & ROCHA IMP. E EXP. DE VESTUÁRIOS LTDA;18;Transporte, Terminais, Depósitos e Comércio;78;Importação para fins comerciais de veículos automotores;03/10/2008;23/06/2010;...;PORTO VELHO;RONDONIA;;;Encerrado;21/03/2026 20:28
00024923000264;BOTTOSSI & ROCHA IMP. E EXP. DE VESTUÁRIOS LTDA;18;Transporte, Terminais, Depósitos e Comércio;81;Comércio de produtos químicos e produtos perigosos - Resolução CONAMA nº 401/2008;03/10/2008;23/06/2010;Alto;PORTO VELHO;RONDONIA;;;Encerrado;21/03/2026 20:28
00059311001017;FUNDAÇÃO NACIONAL DO INDIO;20;Uso de Recursos Naturais;2;Exploração econômica da madeira ou lenha e subprodutos florestais (floresta nativa);25/11/2005;;Médio;PORTO VELHO;RONDONIA;;;Suspenso para Averiguações - dados cadastrais inconsistentes e_ou recadastramento;21/03/2026 20:28
00059311001521;FUNAI ADM.EXECUTIVA REGIONAL DE CACOAL;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;27;Porte e uso de motosserra - Lei nº 12.651/2010: art. 69, § 1º;17/09/2007;;...;CACOAL;RONDONIA;;;Suspenso para Averiguações - dados cadastrais inconsistentes e_ou recadastramento;21/03/2026 20:28
00059711000131;JOSE GERALDO;2;Indústria de Produtos Minerais Não Metálicos;2;Fabricação e elaboração de produtos minerais não metálicos tais como produção de material cerâmico, cimento, gesso, amianto, vidro e similares;10/09/2013;13/09/2018;Médio;CAMPO NOVO DE RONDONIA;RONDONIA;;;Encerrado;21/03/2026 20:28
00059711000131;JOSE GERALDO;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;01/01/2001;25/10/2013;Alto;CAMPO NOVO DE RONDONIA;RONDONIA;;;Encerrado;21/03/2026 20:28
00091652001231;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;27;Porte e uso de motosserra - Lei nº 12.651/2010: art. 69, § 1º;16/03/2018;;...;PORTO VELHO;RONDONIA;-8,762261;-63,907469;Ativa;21/03/2026 20:28
00148739000145;PAULINA DE LIMA MASSA CAFÉ ME;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;27;Porte e uso de motosserra - Lei nº 12.651/2010: art. 69, § 1º;29/01/2009;;...;BURITIS;RONDONIA;;;Suspenso para Averiguações - dados cadastrais inconsistentes e_ou recadastramento;21/03/2026 20:28
00235069000366;ANMA TRANSPORTES E PARTICIPACOES LTDA;18;Transporte, Terminais, Depósitos e Comércio;1;Transporte de cargas perigosas;21/10/2025;;Alto;VILHENA;RONDONIA;-12,745806;-60,116667;Ativa;21/03/2026 20:28
00235069000528;ANMA TRANSPORTES E PARTICIPACOES LTDA;18;Transporte, Terminais, Depósitos e Comércio;1;Transporte de cargas perigosas;17/12/2025;;Alto;PORTO VELHO;RONDONIA;-8,867194;-63,880278;Ativa;21/03/2026 20:28
00257141000275;KIMAD - IND E COM, EXPORTAÇÃO E IMPORTAÇÃO DE MADEIRAS LTDA;7;Indústria de Madeira;1;Serraria e desdobramento de madeira;01/04/2004;28/12/2010;Médio;VILHENA;RONDONIA;;;Encerrado;21/03/2026 20:28
00257141000275;KIMAD - IND E COM, EXPORTAÇÃO E IMPORTAÇÃO DE MADEIRAS LTDA;20;Uso de Recursos Naturais;1;silvicultura;01/01/2001;28/12/2010;Médio;VILHENA;RONDONIA;;;Encerrado;21/03/2026 20:28
00257141000275;KIMAD - IND E COM, EXPORTAÇÃO E IMPORTAÇÃO DE MADEIRAS LTDA;20;Uso de Recursos Naturais;3;importação ou exportação da fauna e flora nativas brasileiras;01/01/2003;28/12/2010;Médio;VILHENA;RONDONIA;;;Encerrado;21/03/2026 20:28
00257141000275;KIMAD - IND E COM, EXPORTAÇÃO E IMPORTAÇÃO DE MADEIRAS LTDA;20;Uso de Recursos Naturais;21;Importação ou exportação de fauna nativa brasileira;01/01/2004;28/12/2010;Médio;VILHENA;RONDONIA;;;Encerrado;21/03/2026 20:28
00308668000109;TRANSPORTADORA PLANALTO LTDA;18;Transporte, Terminais, Depósitos e Comércio;1;Transporte de cargas perigosas;09/08/1983;;Alto;PORTO VELHO;RONDONIA;-8,787994;-63,836144;Ativa;21/03/2026 20:28
00308668000109;TRANSPORTADORA PLANALTO LTDA;18;Transporte, Terminais, Depósitos e Comércio;14;Transporte de cargas perigosas - Resolução CONAMA nº 362/2005;20/07/1989;07/10/2013;Alto;PORTO VELHO;RONDONIA;-8,787994;-63,836144;Ativa;21/03/2026 20:28
00308668000605;TRANSPORTADORA PLANALTO LTDA;18;Transporte, Terminais, Depósitos e Comércio;1;Transporte de cargas perigosas;01/01/2014;27/12/2017;Alto;VILHENA;RONDONIA;1,816;-61,127583;Encerrado;21/03/2026 20:28
00315457002481;AGROPECUÁRIA MAGGI LTDA;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;27;Porte e uso de motosserra - Lei nº 12.651/2010: art. 69, § 1º;20/10/2025;;...;CORUMBIARA;RONDONIA;-12,891111;-61,277778;Ativa;21/03/2026 20:28
00315457002481;AGROPECUÁRIA MAGGI LTDA;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;49;Transporte de produtos florestais - Lei nº 12.651/2012: art. 36;18/07/2024;;...;CORUMBIARA;RONDONIA;-12,891111;-61,277778;Ativa;21/03/2026 20:28
00315457002481;AGROPECUÁRIA MAGGI LTDA;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;50;Armazenamento de produtos florestais - Lei nº 12.651/2012: art. 36;08/11/2023;;...;CORUMBIARA;RONDONIA;-12,891111;-61,277778;Ativa;21/03/2026 20:28
00348003000706;EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA;20;Uso de Recursos Naturais;1;silvicultura;14/05/2003;10/09/2019;Médio;MACHADINHO D'OESTE;RONDONIA;-9,396889;-62,021056;Encerrado;21/03/2026 20:28
