CNPJ;Razão Social;Código da categoria;Descrição da categoria;Código da atividade;Descrição da atividade;Data de início da atividade;Data de término da atividade;Potenc. de Pol. da atividade;Município;Estado;Latitude;Longitude;Situação cadastral;Última Atualização Relatório
00059311001602;FUNDAÇÃO NACIONAL INDIO - FUNAI;18;Transporte, Terminais, Depósitos e Comércio;11;Transporte de produtos florestais;11/09/2015;29/06/2018;...;BOA VISTA;RORAIMA;2,819417;-60,6925;Ativa;21/03/2026 20:28
00059311001602;FUNDAÇÃO NACIONAL INDIO - FUNAI;20;Uso de Recursos Naturais;2;Exploração econômica da madeira ou lenha e subprodutos florestais (floresta nativa);11/02/2010;;Médio;BOA VISTA;RORAIMA;2,819417;-60,6925;Ativa;21/03/2026 20:28
00059311001602;FUNDAÇÃO NACIONAL INDIO - FUNAI;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;49;Transporte de produtos florestais - Lei nº 12.651/2012: art. 36;29/06/2018;;...;BOA VISTA;RORAIMA;2,819417;-60,6925;Ativa;21/03/2026 20:28
00291141000100;SALES E AMORIM LTDA;2;Indústria de Produtos Minerais Não Metálicos;2;Fabricação e elaboração de produtos minerais não metálicos tais como produção de material cerâmico, cimento, gesso, amianto, vidro e similares;01/01/2001;;Médio;BOA VISTA;RORAIMA;;;Suspenso para Averiguações - dados cadastrais inconsistentes e_ou recadastramento;21/03/2026 20:28
00291141000100;SALES E AMORIM LTDA;20;Uso de Recursos Naturais;2;Exploração econômica da madeira ou lenha e subprodutos florestais (floresta nativa);06/03/2007;;Médio;BOA VISTA;RORAIMA;;;Suspenso para Averiguações - dados cadastrais inconsistentes e_ou recadastramento;21/03/2026 20:28
00324477000122;T S I TRANSPORTES E SOLUCOES INTELIGENTES;17;Serviços de Utilidade;4;Destinação de resíduos de esgotos sanitários e de resíduos sólidos urbanos, inclusive aqueles provenientes de fossas;02/04/2014;;Médio;BOA VISTA;RORAIMA;2,818333;-60,675833;Ativa;21/03/2026 20:28
00324502000178;FRANCISCO HERTON MENDES MACHADO;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;3;Utilização de substâncias controladas - Protocolo de Montreal;01/12/1994;;...;BOA VISTA;RORAIMA;2,820833;-60,709167;Ativa;21/03/2026 20:28
00348003010183;EMPRESA BRASILEIRA DE PESQUISA AGROPECUÁRIA;17;Serviços de Utilidade;61;Disposição de resíduos especiais - Lei nº 12.305/2010: art. 33, I;29/08/2022;31/10/2024;Médio;BOA VISTA;RORAIMA;2,755889;-60,731528;Ativa;21/03/2026 20:28
00348003010183;EMPRESA BRASILEIRA DE PESQUISA AGROPECUÁRIA;17;Serviços de Utilidade;63;Disposição de resíduos especiais - Lei nº 12.305/2010: art. 33, III;29/08/2022;31/10/2024;Médio;BOA VISTA;RORAIMA;2,755889;-60,731528;Ativa;21/03/2026 20:28
00348003010183;EMPRESA BRASILEIRA DE PESQUISA AGROPECUÁRIA;18;Transporte, Terminais, Depósitos e Comércio;80;Depósito de produtos químicos e produtos perigosos - Lei nº 12.305/2010;29/08/2022;31/10/2024;Alto;BOA VISTA;RORAIMA;2,755889;-60,731528;Ativa;21/03/2026 20:28
00348003010183;EMPRESA BRASILEIRA DE PESQUISA AGROPECUÁRIA;20;Uso de Recursos Naturais;5;Utilização do patrimônio genético natural;08/09/2015;;Médio;BOA VISTA;RORAIMA;2,755889;-60,731528;Ativa;21/03/2026 20:28
00348003010183;EMPRESA BRASILEIRA DE PESQUISA AGROPECUÁRIA;20;Uso de Recursos Naturais;17;atividade agrícola e pecuária;18/02/1982;29/06/2018;...;BOA VISTA;RORAIMA;2,755889;-60,731528;Ativa;21/03/2026 20:28
00348003010183;EMPRESA BRASILEIRA DE PESQUISA AGROPECUÁRIA;20;Uso de Recursos Naturais;41;utilização do patrimônio genético natural - coleta de material biológico com finalidade científica ou didática;08/09/2015;29/06/2018;Médio;BOA VISTA;RORAIMA;2,755889;-60,731528;Ativa;21/03/2026 20:28
00348003010183;EMPRESA BRASILEIRA DE PESQUISA AGROPECUÁRIA;20;Uso de Recursos Naturais;58;coleção biológica;08/09/2015;29/06/2018;...;BOA VISTA;RORAIMA;2,755889;-60,731528;Ativa;21/03/2026 20:28
00348003010183;EMPRESA BRASILEIRA DE PESQUISA AGROPECUÁRIA;20;Uso de Recursos Naturais;64;utilização do patrimônio genético natural-flora, fauna, pesca e micro-organismos para pesquisa, manipulação e alteração genética;08/09/2015;01/08/2021;Médio;BOA VISTA;RORAIMA;2,755889;-60,731528;Ativa;21/03/2026 20:28
00348003010183;EMPRESA BRASILEIRA DE PESQUISA AGROPECUÁRIA;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;3;Utilização de substâncias controladas - Protocolo de Montreal;28/04/2013;30/08/2022;...;BOA VISTA;RORAIMA;2,755889;-60,731528;Ativa;21/03/2026 20:28
00348003010183;EMPRESA BRASILEIRA DE PESQUISA AGROPECUÁRIA;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;4;Importador de Baterias para comercialização de forma direta ou indireta;08/09/2015;29/06/2018;Alto;BOA VISTA;RORAIMA;2,755889;-60,731528;Ativa;21/03/2026 20:28
00348003010183;EMPRESA BRASILEIRA DE PESQUISA AGROPECUÁRIA;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;27;Porte e uso de motosserra - Lei nº 12.651/2010: art. 69, § 1º;27/05/2013;;...;BOA VISTA;RORAIMA;2,755889;-60,731528;Ativa;21/03/2026 20:28
00348003010183;EMPRESA BRASILEIRA DE PESQUISA AGROPECUÁRIA;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;47;Aplicação de agrotóxicos e afins - Lei nº 7.802/1989;29/08/2022;;...;BOA VISTA;RORAIMA;2,755889;-60,731528;Ativa;21/03/2026 20:28
