CNPJ;Razão Social;Código da categoria;Descrição da categoria;Código da atividade;Descrição da atividade;Data de início da atividade;Data de término da atividade;Potenc. de Pol. da atividade;Município;Estado;Latitude;Longitude;Situação cadastral;Última Atualização Relatório
00048785003945;INDAIA BRASIL AGUAS MINERAIS LTDA;1;Extração e Tratamento de Minerais;1;Pesquisa mineral com guia de utilização;01/04/2002;18/04/2002;Alto;SAO CRISTOVAO;SERGIPE;-10,986917;-37,284556;Ativa;21/03/2026 20:28
00048785003945;INDAIA BRASIL AGUAS MINERAIS LTDA;1;Extração e Tratamento de Minerais;3;Lavra subterrânea com ou sem beneficiamento;01/04/2002;25/10/2006;Alto;SAO CRISTOVAO;SERGIPE;-10,986917;-37,284556;Ativa;21/03/2026 20:28
00048785003945;INDAIA BRASIL AGUAS MINERAIS LTDA;2;Indústria de Produtos Minerais Não Metálicos;1;Beneficiamento de minerais não metálicos, não associados a extração;01/04/2002;25/10/2006;Médio;SAO CRISTOVAO;SERGIPE;-10,986917;-37,284556;Ativa;21/03/2026 20:28
00048785003945;INDAIA BRASIL AGUAS MINERAIS LTDA;16;Indústria de Produtos Alimentares e Bebidas;13;Fabricação de bebidas não-alcoólicas, bem como engarrafamento e gaseificação e águas minerais;01/04/2002;;Médio;SAO CRISTOVAO;SERGIPE;-10,986917;-37,284556;Ativa;21/03/2026 20:28
00062593000110;J&J MATERIAL DE CONSTRUÇÃO LTDA EPP;18;Transporte, Terminais, Depósitos e Comércio;10;Comércio de produtos químicos e produtos perigosos - Protocolo de Montreal;09/05/1994;14/04/2010;Alto;NOSSA SENHORA DO SOCORRO;SERGIPE;-10,852778;-37,145278;Ativa;21/03/2026 20:28
00062593000110;J&J MATERIAL DE CONSTRUÇÃO LTDA EPP;20;Uso de Recursos Naturais;2;Exploração econômica da madeira ou lenha e subprodutos florestais (floresta nativa);09/05/1994;05/12/2006;Médio;NOSSA SENHORA DO SOCORRO;SERGIPE;-10,852778;-37,145278;Ativa;21/03/2026 20:28
00062593000110;J&J MATERIAL DE CONSTRUÇÃO LTDA EPP;20;Uso de Recursos Naturais;34;exploração econômica da madeira ou lenha e subprodutos florestais - comércio varejista;09/05/1994;29/06/2018;Médio;NOSSA SENHORA DO SOCORRO;SERGIPE;-10,852778;-37,145278;Ativa;21/03/2026 20:28
00062593000110;J&J MATERIAL DE CONSTRUÇÃO LTDA EPP;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;68;Comércio varejista de madeira, de lenha e de outros subprodutos florestais - Lei nº 12.651/2012: art. 37;29/06/2018;;...;NOSSA SENHORA DO SOCORRO;SERGIPE;-10,852778;-37,145278;Ativa;21/03/2026 20:28
00075410000100;T R OLIVEIRA E CIA LTDA;20;Uso de Recursos Naturais;9;Consumo de madeira, lenha ou carvão vegetal;25/05/1994;29/06/2018;...;POCO VERDE;SERGIPE;;;Suspenso para Averiguações - dados cadastrais inconsistentes e_ou recadastramento;21/03/2026 20:28
00075410000100;T R OLIVEIRA E CIA LTDA;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;48;Consumo industrial de madeira, de lenha e de carvão vegetal - Lei nº 12.651/2012: art. 34;29/06/2018;;...;POCO VERDE;SERGIPE;;;Suspenso para Averiguações - dados cadastrais inconsistentes e_ou recadastramento;21/03/2026 20:28
00076350000131;ANTONIO CARLOS OLIVEIRA ANDRADE ME;20;Uso de Recursos Naturais;2;Exploração econômica da madeira ou lenha e subprodutos florestais (floresta nativa);01/01/2001;31/10/2006;Médio;POCO VERDE;SERGIPE;-10,719667;-38,171917;Ativa;21/03/2026 20:28
00076350000131;ANTONIO CARLOS OLIVEIRA ANDRADE ME;20;Uso de Recursos Naturais;34;exploração econômica da madeira ou lenha e subprodutos florestais - comércio varejista;01/01/2001;29/06/2018;Médio;POCO VERDE;SERGIPE;-10,719667;-38,171917;Ativa;21/03/2026 20:28
00076350000131;ANTONIO CARLOS OLIVEIRA ANDRADE ME;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;49;Transporte de produtos florestais - Lei nº 12.651/2012: art. 36;09/10/2023;;...;POCO VERDE;SERGIPE;-10,719667;-38,171917;Ativa;21/03/2026 20:28
00076350000131;ANTONIO CARLOS OLIVEIRA ANDRADE ME;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;68;Comércio varejista de madeira, de lenha e de outros subprodutos florestais - Lei nº 12.651/2012: art. 37;29/06/2018;;...;POCO VERDE;SERGIPE;-10,719667;-38,171917;Ativa;21/03/2026 20:28
00083043000188;AMAZONIA MADEIRA INDUSTRIA E COMERCIO LTDA;7;Indústria de Madeira;1;Serraria e desdobramento de madeira;01/01/2003;20/03/2003;Médio;ARACAJU;SERGIPE;-10,954694;-37,076667;Ativa;21/03/2026 20:28
00083043000188;AMAZONIA MADEIRA INDUSTRIA E COMERCIO LTDA;7;Indústria de Madeira;4;Fabricação de estruturas de madeira e de móveis;01/01/2002;26/10/2006;Médio;ARACAJU;SERGIPE;-10,954694;-37,076667;Ativa;21/03/2026 20:28
00083043000188;AMAZONIA MADEIRA INDUSTRIA E COMERCIO LTDA;18;Transporte, Terminais, Depósitos e Comércio;11;Transporte de produtos florestais;02/01/2017;29/06/2018;...;ARACAJU;SERGIPE;-10,954694;-37,076667;Ativa;21/03/2026 20:28
00083043000188;AMAZONIA MADEIRA INDUSTRIA E COMERCIO LTDA;20;Uso de Recursos Naturais;2;Exploração econômica da madeira ou lenha e subprodutos florestais (floresta nativa);01/01/2003;14/07/2009;Médio;ARACAJU;SERGIPE;-10,954694;-37,076667;Ativa;21/03/2026 20:28
00083043000188;AMAZONIA MADEIRA INDUSTRIA E COMERCIO LTDA;20;Uso de Recursos Naturais;34;exploração econômica da madeira ou lenha e subprodutos florestais - comércio varejista;26/10/2006;29/06/2018;Médio;ARACAJU;SERGIPE;-10,954694;-37,076667;Ativa;21/03/2026 20:28
00083043000188;AMAZONIA MADEIRA INDUSTRIA E COMERCIO LTDA;20;Uso de Recursos Naturais;42;exploração econômica da madeira, lenha e subprodutos florestais - instalação e manutenção de empreendimentos;02/12/2008;14/07/2009;Médio;ARACAJU;SERGIPE;-10,954694;-37,076667;Ativa;21/03/2026 20:28
00083043000188;AMAZONIA MADEIRA INDUSTRIA E COMERCIO LTDA;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;49;Transporte de produtos florestais - Lei nº 12.651/2012: art. 36;29/06/2018;;...;ARACAJU;SERGIPE;-10,954694;-37,076667;Ativa;21/03/2026 20:28
00083043000188;AMAZONIA MADEIRA INDUSTRIA E COMERCIO LTDA;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;50;Armazenamento de produtos florestais - Lei nº 12.651/2012: art. 36;29/06/2018;;...;ARACAJU;SERGIPE;-10,954694;-37,076667;Ativa;21/03/2026 20:28
00083043000188;AMAZONIA MADEIRA INDUSTRIA E COMERCIO LTDA;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;68;Comércio varejista de madeira, de lenha e de outros subprodutos florestais - Lei nº 12.651/2012: art. 37;29/06/2018;;...;ARACAJU;SERGIPE;-10,954694;-37,076667;Ativa;21/03/2026 20:28
00083043000188;AMAZONIA MADEIRA INDUSTRIA E COMERCIO LTDA;23;Gerenciamento de Projetos sujeitos a licenciamento ambiental federal;15;outras atividades sujeitas a licenciamento não especificadas anteriormente;28/08/2008;14/07/2009;...;ARACAJU;SERGIPE;-10,954694;-37,076667;Ativa;21/03/2026 20:28
00091275000188;SOLON SOEIRO CASTELO BRANCO;16;Indústria de Produtos Alimentares e Bebidas;1;Beneficiamento, moagem, torrefação e fabricação de produtos alimentares;01/01/2001;09/04/2003;Médio;ARACAJU;SERGIPE;-10,911111;-37,071667;Ativa;21/03/2026 20:28
00091275000188;SOLON SOEIRO CASTELO BRANCO;20;Uso de Recursos Naturais;2;Exploração econômica da madeira ou lenha e subprodutos florestais (floresta nativa);01/04/2003;25/03/2004;Médio;ARACAJU;SERGIPE;-10,911111;-37,071667;Ativa;21/03/2026 20:28
00091275000188;SOLON SOEIRO CASTELO BRANCO;20;Uso de Recursos Naturais;9;Consumo de madeira, lenha ou carvão vegetal;01/01/2004;29/06/2018;...;ARACAJU;SERGIPE;-10,911111;-37,071667;Ativa;21/03/2026 20:28
00091275000188;SOLON SOEIRO CASTELO BRANCO;20;Uso de Recursos Naturais;55;consumo de madeira, lenha e carvão vegetal - construção de edifícios;01/01/2004;29/06/2018;...;ARACAJU;SERGIPE;-10,911111;-37,071667;Ativa;21/03/2026 20:28
00091275000188;SOLON SOEIRO CASTELO BRANCO;20;Uso de Recursos Naturais;75;consumo de madeira, lenha e carvão vegetal - restaurante e pizzaria;01/01/2004;29/06/2018;...;ARACAJU;SERGIPE;-10,911111;-37,071667;Ativa;21/03/2026 20:28
00091275000188;SOLON SOEIRO CASTELO BRANCO;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;48;Consumo industrial de madeira, de lenha e de carvão vegetal - Lei nº 12.651/2012: art. 34;29/06/2018;;...;ARACAJU;SERGIPE;-10,911111;-37,071667;Ativa;21/03/2026 20:28
00094234000145;JOSE DO NASCIMENTO CONSTRUÇÃO-ME;20;Uso de Recursos Naturais;34;exploração econômica da madeira ou lenha e subprodutos florestais - comércio varejista;24/10/2006;29/06/2018;Médio;ARACAJU;SERGIPE;0,0;0,0;Suspenso para Averiguações - dados cadastrais inconsistentes e_ou recadastramento;21/03/2026 20:28
00094234000145;JOSE DO NASCIMENTO CONSTRUÇÃO-ME;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;68;Comércio varejista de madeira, de lenha e de outros subprodutos florestais - Lei nº 12.651/2012: art. 37;29/06/2018;;...;ARACAJU;SERGIPE;0,0;0,0;Suspenso para Averiguações - dados cadastrais inconsistentes e_ou recadastramento;21/03/2026 20:28
00103701000156;Leme Comércio de Material de Construção e Serviços;20;Uso de Recursos Naturais;55;consumo de madeira, lenha e carvão vegetal - construção de edifícios;30/06/1994;29/06/2018;...;ARACAJU;SERGIPE;0,0;0,0;Suspenso para Averiguações - dados cadastrais inconsistentes e_ou recadastramento;21/03/2026 20:28
