CNPJ;Razão Social;Código da categoria;Descrição da categoria;Código da atividade;Descrição da atividade;Data de início da atividade;Data de término da atividade;Potenc. de Pol. da atividade;Município;Estado;Latitude;Longitude;Situação cadastral;Última Atualização Relatório
00001180003737;CENTRAIS ELETRICAS BRASILEIRAS SA ELETROBRAS;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;34;Transmissão de energia elétrica - Lei nº 6.938/1981: art. 10;01/07/2024;;...;GURUPI;TOCANTINS;-11,735864;-49,011825;Ativa;21/03/2026 20:29
00001180003737;CENTRAIS ELETRICAS BRASILEIRAS SA ELETROBRAS;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;47;Aplicação de agrotóxicos e afins - Lei nº 7.802/1989;10/11/2025;;...;GURUPI;TOCANTINS;-11,735864;-49,011825;Ativa;21/03/2026 20:29
00001636000158;PREFEITURA MUNICIPAL DE WANDERLANDIA;20;Uso de Recursos Naturais;2;Exploração econômica da madeira ou lenha e subprodutos florestais (floresta nativa);13/02/2023;;Médio;WANDERLANDIA;TOCANTINS;-6,848639;-47,964922;Ativa;21/03/2026 20:29
00001636000158;PREFEITURA MUNICIPAL DE WANDERLANDIA;20;Uso de Recursos Naturais;26;Introdução de espécies exóticas, exceto para melhoramento genético vegetal e uso na agricultura;14/02/2023;;Médio;WANDERLANDIA;TOCANTINS;-6,848639;-47,964922;Ativa;21/03/2026 20:29
00001636000158;PREFEITURA MUNICIPAL DE WANDERLANDIA;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;27;Porte e uso de motosserra - Lei nº 12.651/2010: art. 69, § 1º;07/07/2011;;...;WANDERLANDIA;TOCANTINS;-6,848639;-47,964922;Ativa;21/03/2026 20:29
00003574000113;LABORATORIO LABNORT LTDA;17;Serviços de Utilidade;64;Disposição de resíduos especiais - Lei nº 12.305/2010: art. 13, I, g;10/01/2023;;Médio;GURUPI;TOCANTINS;-11,729694;-49,065;Ativa;21/03/2026 20:29
00003848000174;MUNICÍPIO DE FIGUEIRÓPOLIS - TO;17;Serviços de Utilidade;4;Destinação de resíduos de esgotos sanitários e de resíduos sólidos urbanos, inclusive aqueles provenientes de fossas;01/01/2009;;Médio;FIGUEIROPOLIS;TOCANTINS;-12,13775;-49,170722;Ativa;21/03/2026 20:29
00007401000173;MUNICIPIO DE PALMEIROPOLIS (PREF. MUNICIPAL);21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;27;Porte e uso de motosserra - Lei nº 12.651/2010: art. 69, § 1º;10/04/2012;;...;PALMEIROPOLIS;TOCANTINS;-13,041944;-48,409444;Ativa;21/03/2026 20:29
00028795000146;AUTO POSTO LIMA LTDA;18;Transporte, Terminais, Depósitos e Comércio;1;Transporte de cargas perigosas;01/01/2019;;Alto;AUGUSTINOPOLIS;TOCANTINS;-5,469417;-47,888056;Ativa;21/03/2026 20:29
00028795000146;AUTO POSTO LIMA LTDA;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;01/01/2019;;Alto;AUGUSTINOPOLIS;TOCANTINS;-5,469417;-47,888056;Ativa;21/03/2026 20:29
