CNPJ;Razão Social;Código da categoria;Descrição da categoria;Código da atividade;Descrição da atividade;Data de início da atividade;Data de término da atividade;Potenc. de Pol. da atividade;Município;Estado;Latitude;Longitude;Situação cadastral;Última Atualização Relatório
1137217000372;ALQUIMIA PRODUTOS QUIMICOS PARA INDUSTRIAS LTDA;15;Indústria Química;1;Produção de substâncias e fabricação de produtos químicos;17/03/2025;;Alto;RIO BRANCO;ACRE;-9,943306;-67,871056;Ativa;21/03/2026 20:26
2329713001605;TIMAC AGRO INDUST E COMERCIO DE FERTILIZANTES LTDA;15;Indústria Química;1;Produção de substâncias e fabricação de produtos químicos;02/03/2009;06/12/2012;Alto;SANTA LUZIA DO NORTE;ALAGOAS;-9,602778;-35,821917;Ativa;21/03/2026 20:26
4487566000140;INTERACTA QUIMICA LTDA;15;Indústria Química;1;Produção de substâncias e fabricação de produtos químicos;01/07/2022;;Alto;MACEIO;ALAGOAS;-9,578056;-35,7525;Ativa;21/03/2026 20:26
5862270000125;CAPE AGUAS NORDESTE INDUSTRIA E COMERCIO LTDA;15;Indústria Química;1;Produção de substâncias e fabricação de produtos químicos;07/03/2006;;Alto;MARECHAL DEODORO;ALAGOAS;-9,669167;-35,839556;Ativa;21/03/2026 20:26
7564043000149;NUPRIME SOLUTIONS LTDA;15;Indústria Química;1;Produção de substâncias e fabricação de produtos químicos;11/05/2017;;Alto;SANTA LUZIA DO NORTE;ALAGOAS;-9,608056;-35,825556;Ativa;21/03/2026 20:26
10805331000152;SANFERTIL SANTO ANTONIO FERTILIZANTES LTDA;15;Indústria Química;1;Produção de substâncias e fabricação de produtos químicos;01/01/2001;13/12/2016;Alto;SAO LUIS DO QUITUNDE;ALAGOAS;-9,298478;-35,563639;Ativa;21/03/2026 20:26
16619418000111;OLEO FUSEL DO NORDESTE LTDA - ME;15;Indústria Química;1;Produção de substâncias e fabricação de produtos químicos;30/07/2012;;Alto;ATALAIA;ALAGOAS;-9,505;-36,044694;Ativa;21/03/2026 20:26
21355903000165;BHR  INDÚSTRIA E COMÉRCIO DE PRODUTOS QUÍMICOS LTDA;15;Indústria Química;1;Produção de substâncias e fabricação de produtos químicos;06/04/2018;17/11/2021;Alto;MARECHAL DEODORO;ALAGOAS;-9,682;-35,83325;Ativa;21/03/2026 20:26
24380578000260;WHITE MARTINS GASES INDUSTRIAIS DO NORDESTE LTDA;15;Indústria Química;1;Produção de substâncias e fabricação de produtos químicos;01/01/2004;;Alto;MACEIO;ALAGOAS;-9,621917;-35,739056;Ativa;21/03/2026 20:26
24380578003951;WHITE MARTINS GASES INDUSTRIAIS DO NORDESTE LTDA;15;Indústria Química;1;Produção de substâncias e fabricação de produtos químicos;01/03/1993;;Alto;MARECHAL DEODORO;ALAGOAS;-9,723889;-35,901917;Ativa;21/03/2026 20:26
