cnpj;output;relacao;cep;uf;municipio;polo_mais_proximo;tipo_polo;distancia_min_km;lat;lon;fonte_geo;cidade_geo;uf_geo;observacao_geo;Veredito
60619202001896;talvez;80km;57080010;AL;2785;Marechal Deodoro/AL;quimico_cloroquimico;20.54;-9.6072858;-35.7392996;Nominatim/OpenStreetMap;Maceió;AL;;Sem Relação
60619202000490;talvez;CTF_APP;78098370;MT;9067;Uberaba/MG;fertilizantes_quimico;964.58;-15.6689542;-55.9789708;Nominatim/OpenStreetMap;Cuiabá;MT;;Não Planta
00331788004530;talvez;80km;23570000;RJ;6001;Santa Cruz/Ternium/RJ;siderurgia;6.86;-22.8952259;-43.7398158;Nominatim/OpenStreetMap;Rio de Janeiro;RJ;;Potencial Planta
35820448019317;talvez;CTF_APP e 80km;13505645;SP;6979;Paulínia/REPLAN/SP;refino_petroquimico;55.96;-22.4100108;-47.5603933;Nominatim/OpenStreetMap;Rio Claro;SP;Coordenada aproximada pelo município, não pelo CEP exato.;Potencial Planta
43843358003023;talvez;CTF_APP;18278725;SP;7181;Paulínia/REPLAN/SP;refino_petroquimico;100.31;-23.3489848;-47.8490165;Nominatim/OpenStreetMap;Tatuí;SP;Coordenada aproximada pelo município, não pelo CEP exato.;Não Planta
00331788005773;talvez;CTF_APP;71225526;DF;9701;Uberaba/MG;fertilizantes_quimico;439.6;-15.7939869;-47.8828;Nominatim/OpenStreetMap;Brasília;DF;Coordenada aproximada pelo município, não pelo CEP exato.;Não Planta
00331788006230;talvez;CTF_APP;17034290;SP;6219;Paulínia/REPLAN/SP;refino_petroquimico;198.27;-22.3084896;-49.0140402;Nominatim/OpenStreetMap;Bauru;SP;;Não Planta
60619202002272;talvez;CTF_APP e 80km;42816140;BA;3413;Camaçari/BA;petroquimico;3.35;-12.6674855;-38.3148858;Nominatim/OpenStreetMap;Camaçari;BA;;Potencial Planta
24380578005903;talvez;CTF_APP;79602970;MS;9165;Uberaba/MG;fertilizantes_quimico;408.82;-20.7917299;-51.6969291;Nominatim/OpenStreetMap;Três Lagoas;MS;;Não Planta
35820448021303;talvez;CTF_APP e 80km;13288172;SP;7237;Paulínia/REPLAN/SP;refino_petroquimico;37.49;-23.0298535;-46.9749847;Nominatim/OpenStreetMap;Vinhedo;SP;Coordenada aproximada pelo município, não pelo CEP exato.;Potencial Planta
35820448022024;talvez;CTF_APP e 80km;38490000;MG;4613;Uberaba/MG;fertilizantes_quimico;78.74;-19.0391972;-47.9178436;Nominatim/OpenStreetMap;Indianópolis;MG;;Potencial Planta
45829243000175;talvez;;36052590;MG;4733;Duque de Caxias/REDUC/RJ;refino_petroquimico;106.93;-21.7609533;-43.3501129;Nominatim/OpenStreetMap;Juiz de Fora;MG;Coordenada aproximada pelo município, não pelo CEP exato.;Sem Relação
54443328000101;talvez;;64200970;PI;1153;Pecém/CE;porto_industrial;335.57;-2.9147515;-41.7661953;Nominatim/OpenStreetMap;Parnaíba;PI;Coordenada aproximada pelo município, não pelo CEP exato.;Conceito de Planta
00331788010939;talvez;80km;42813760;BA;3413;Camaçari/BA;petroquimico;0.48;-12.6998188;-38.3260762;Nominatim/OpenStreetMap;Camaçari;BA;Coordenada aproximada pelo município, não pelo CEP exato.;Não Planta
00331788000623;talvez;CTF_APP e 80km;26110100;RJ;2909;Duque de Caxias/REDUC/RJ;refino_petroquimico;10.56;-22.7601914;-43.3659542;Nominatim/OpenStreetMap;Belford Roxo;RJ;;Potencial Planta
35820448006410;talvez;CTF_APP e 80km;95840000;RS;8943;Triunfo/RS;petroquimico;32.83;-29.9407972;-51.7191859;Nominatim/OpenStreetMap;Triunfo;RS;;Potencial Planta
35820448010360;talvez;CTF_APP e 80km;13212240;SP;6619;Paulínia/REPLAN/SP;refino_petroquimico;57.43;-23.1887668;-46.884506;Nominatim/OpenStreetMap;Jundiaí;SP;Coordenada aproximada pelo município, não pelo CEP exato.;Potencial Planta
35820448015915;talvez;CTF_APP e 80km;13473625;SP;6131;Paulínia/REPLAN/SP;refino_petroquimico;19.79;-22.7392463;-47.3306032;Nominatim/OpenStreetMap;Americana;SP;Coordenada aproximada pelo município, não pelo CEP exato.;Potencial Planta
35820448017454;talvez;CTF_APP e 80km;11573900;SP;6371;Cubatão/SP;industrial_siderurgico;1.64;-23.8842077;-46.4213061;Nominatim/OpenStreetMap;Cubatão;SP;Coordenada aproximada pelo município, não pelo CEP exato.;Potencial Planta
02605266000355;talvez;CTF_APP e 80km;29092300;ES;5705;Serra/Tubarão/ES;siderurgia_portuario;2.26;-20.2539254;-40.2434751;Nominatim/OpenStreetMap;Vitória;ES;;Potencial Planta
24380578000260;talvez;CTF_APP e 80km;57055000;AL;2785;Marechal Deodoro/AL;quimico_cloroquimico;18.91;-9.6500548;-35.7335597;Nominatim/OpenStreetMap;Maceió;AL;;Potencial Planta
67423152000178;talvez;CTF_APP e 80km;13213009;SP;6619;Paulínia/REPLAN/SP;refino_petroquimico;53.41;-23.1700183;-46.9339034;Nominatim/OpenStreetMap;Jundiaí;SP;;Relação
